branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
"Corning City Library",1,,,,,,,,,,,,,,3,,2,,,,,1,,1,,2,,,,,,6
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doniphan County Library - Elwood",1,1,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,6,1,9
"Doniphan County Library - Highland",4,8,13,5,5,2,,4,,8,4,8,2,,7,3,7,6,6,6,,10,7,8,7,8,,,,8,8,58
"Doniphan County Library - Troy",15,8,7,7,9,2,1,9,1,15,10,10,4,,13,15,4,6,8,4,,7,10,13,9,7,1,,2,23,12,116
"Doniphan County Library - Wathena",10,,4,2,2,2,1,10,,5,4,3,2,,7,7,4,4,4,2,,11,,9,5,5,,,,4,6,51
"Effingham Community Library",4,4,7,2,3,5,,2,4,1,4,,3,,4,,6,10,13,7,,10,6,2,3,3,5,,,12,18,61
"Eudora Community Library",41,22,33,27,20,15,1,30,26,23,18,16,22,1,31,21,25,2,1,9,1,42,23,40,25,34,20,1,3,33,37,258
"Everest, Barnes Reading Room",4,2,,3,,1,,1,5,,2,3,4,,3,,,3,3,,,3,2,,,4,2,,1,3,,25
"Hiawatha, Morrill Public Library",25,26,30,34,25,7,5,31,26,30,30,23,12,7,26,30,19,32,21,18,9,30,24,41,33,33,15,6,2,38,22,314
"Highland Community College",,,3,,,,,1,1,1,2,,,1,1,,,,,,,,,,,1,,,,,,9
"Holton, Beck-Bookman Library",33,34,30,30,27,20,,35,18,33,46,27,13,,20,29,38,45,36,8,1,30,33,38,39,31,,,,45,45,389
"Horton Public Library",1,3,3,3,2,2,,3,3,1,6,2,,,1,8,3,4,,,,,2,,2,3,,,,2,3,33
"Lansing Community Library",32,20,29,33,33,13,2,30,24,31,31,29,16,2,36,34,29,25,24,17,2,24,22,30,45,36,27,1,3,45,39,359
"Leavenworth Public Library",97,108,85,30,84,59,38,75,101,110,76,84,52,33,112,89,99,88,105,75,35,91,110,102,108,80,69,34,16,154,120,1112
"Linwood Community Library",10,5,7,7,7,3,,11,8,5,7,10,7,1,3,8,9,4,11,2,,11,6,7,10,12,5,,1,12,16,93
"Louisburg Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyndon Carnegie Library",8,6,7,6,,8,,8,9,11,8,,4,,7,9,5,15,,6,,10,14,6,8,,7,2,1,13,10,85
"McLouth Public Library",4,6,2,1,2,,,7,1,7,1,4,,,3,3,5,2,5,1,,5,1,3,2,4,4,,,2,8,40
"Meriden-Ozawkie Public Library",18,12,15,16,18,4,1,14,22,14,16,10,7,,9,15,21,18,11,9,,18,54,33,26,36,8,,,37,46,244
"Northeast Kansas Library System",,2,,1,,,,1,1,1,,1,,,,4,1,1,1,,,2,,,1,3,,,,1,2,11
"Nortonville Public Library",1,6,1,2,6,6,,1,6,6,4,5,,,,6,5,6,2,3,,1,10,2,5,5,4,,1,5,3,57
"Osage City Library",38,31,42,19,26,14,,33,30,37,37,25,10,,47,49,48,41,58,17,,51,62,48,30,39,14,,,59,46,373
"Osawatomie Public Library",40,15,12,13,26,8,1,15,16,10,14,19,13,,28,23,19,16,18,7,2,32,21,17,23,23,,,,38,17,225
"Oskaloosa Public Library",12,10,13,15,16,5,,21,12,13,19,9,5,1,20,13,12,13,11,6,,12,18,23,17,13,7,,,12,23,152
"Ottawa Library",74,71,68,73,61,26,2,63,55,74,59,82,35,1,75,65,60,77,60,42,6,130,73,91,75,64,34,2,2,123,75,871
"Overbrook Public Library",10,20,15,20,17,7,1,12,9,7,18,16,2,,24,15,14,17,15,7,1,15,16,17,17,21,,,2,15,19,157
"Paola Free Library",51,66,55,38,35,33,,56,44,43,52,37,39,6,62,46,52,42,2,38,3,64,98,44,43,54,25,1,3,97,65,593
"Perry-Lecompton Community Library",2,6,,4,,,,,4,,2,,2,,,3,,2,,1,,,2,,3,,,,,,,19
"Pomona Community Library",,3,2,2,4,,,,1,4,1,4,,,2,6,1,2,1,1,,,3,4,1,1,,,,1,5,26
"Prairie Hills Schools - Axtell Public School",6,8,19,12,8,,,8,6,4,,1,,,,,2,,,,,,,,,,,,,,,49
"Prairie Hills Schools - Sabetha Elementary School",56,45,58,71,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,217
"Prairie Hills Schools - Sabetha High School",1,5,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,9
"Prairie Hills Schools - Sabetha Middle School",,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richmond Public Library",10,,9,11,10,,1,4,1,9,10,9,5,,12,,14,11,8,2,,12,1,18,13,11,3,,,,13,52
"Rossville Community Library",11,10,19,21,13,3,,19,29,18,13,11,3,,24,21,52,18,20,6,1,26,14,18,21,32,2,1,,39,20,245
"Sabetha, Mary Cotton Library",25,33,25,27,19,19,1,31,31,24,22,24,15,1,28,37,26,31,34,19,1,40,53,42,40,38,18,,3,47,39,331
"Seneca Free Library",21,24,22,18,24,12,,31,24,22,20,28,5,,23,43,28,34,29,14,,47,40,38,36,31,12,,1,47,42,330
"Silver Lake Library",22,14,22,28,9,6,,13,40,22,25,16,4,2,20,30,23,21,14,1,,25,18,15,28,17,6,,1,27,25,195
"Tonganoxie Public Library",60,55,45,51,34,27,17,39,39,52,51,39,19,10,57,61,48,96,54,39,18,55,98,74,91,51,30,13,7,82,98,682
"Valley Falls, Delaware Township Library",6,9,7,7,8,5,,7,4,9,4,10,3,,5,8,5,7,13,8,,9,11,9,3,11,3,,1,7,8,81
"Wellsville City Library",23,10,8,13,20,10,1,12,7,89,15,15,3,,12,23,27,11,18,5,1,30,22,24,14,16,11,,2,27,36,233
"Wetmore Public Library",10,3,6,3,8,,,2,3,7,1,4,1,,4,14,4,3,5,7,,3,2,7,4,5,,,,3,14,50
"Williamsburg Community Library",9,5,8,2,,3,,5,4,10,2,,3,,6,1,4,2,6,1,,4,4,7,,,1,,2,7,9,68
"Winchester Public Library",8,8,6,8,5,2,,12,4,5,8,4,3,,7,6,,5,6,1,1,7,2,8,7,3,4,,,13,14,71
