branchname,"""COLLECTION CODE""",TOTAL ITEMS,ADULT ITEMS,YOUNG ADULT ITEMS,JUVENILE ITEMS,TOTAL ADDED LM,ADULT ADDED LM,YOUNG ADULT ADDED LM,JUVENILE ADDED LM,TOTAL DELETED LM,ADULT DELETED LM,YOUNG ADULT DELETED LM,JUVENILE DELETED LM
Baldwin City Public Library,Video (VHS cassette),,,,,,,,,,,,
Baldwin City Public Library,Video-TV series (Blu-ray),1,1,,,,,,,,,,
Baldwin City Public Library,Video-TV series (Blu-ray/DVD combined edition),1,1,,,,,,,,,,
Baldwin City Public Library,Video-TV series (DVD),119,117,,2,,,,,,,,
Baldwin City Public Library,Video-TV series (media player),,,,,,,,,,,,
Baldwin City Public Library,Western,,,,,,,,,,,,
Basehor Community Library,(Unclassified),1,,1,,,,,,,,,
Basehor Community Library,Action & Adventure,,,,,,,,,,,,
Basehor Community Library,Adult literacy,,,,,,,,,,,,
Basehor Community Library,African American history and literature,,,,,,,,,,,,
Basehor Community Library,Archival materials,,,,,,,,,,,,
Basehor Community Library,Atlas,,,,,,,,,,,,
Basehor Community Library,Audiobook (cassette),,,,,,,,,,,,
Basehor Community Library,Audiobook (CD),1711,1301,1,409,7,7,,,,,,
Basehor Community Library,Audiobook (downloadable),,,,,,,,,,,,
Basehor Community Library,Audiobook (media player),361,170,77,114,,,,,2,,,
Basehor Community Library,Audio-visual equipment,,,,,,,,,,,,
Basehor Community Library,Bakeware,,,,,,,,,,,,
Basehor Community Library,Battle of the books,1,,1,,,,,,,,,
Basehor Community Library,Bicycle,,,,,,,,,,,,
Basehor Community Library,Bilingual,,,,,,,,,,,,
Basehor Community Library,Binder,,,,,,,,,,,,
Basehor Community Library,Biography,1761,1085,123,553,13,9,,4,3,,,
Basehor Community Library,Blu-ray player,,,,,,,,,,,,
Basehor Community Library,Board Book,412,1,2,409,1,,,1,,,,
Basehor Community Library,Chapter Books,,,,,,,,,,,,
Basehor Community Library,Classics,,,,,,,,,,,,
Basehor Community Library,Contemporary Issues,,,,,,,,,,,,
Basehor Community Library,Downloadable Book,,,,,,,,,,,,
Basehor Community Library,Downloadable Graphic Novel,,,,,,,,,,,,
Basehor Community Library,Downloadable Magazine,,,,,,,,,,,,
Basehor Community Library,Downloadable Movie,,,,,,,,,,,,
Basehor Community Library,Downloadable Music,,,,,,,,,,,,
Basehor Community Library,Downloadable TV Show,,,,,,,,,,,,
Basehor Community Library,Easy Reader,1392,,1,1391,2,,,2,,,,
Basehor Community Library,Education,,,,,,,,,,,,
Basehor Community Library,Fiction,21755,11456,5494,4805,142,83,36,23,30,,,1
Basehor Community Library,Gadget,9,7,2,,,,,,,,,
Basehor Community Library,Genealogy,,,,,,,,,,,,
Basehor Community Library,Graphic Novel,5340,139,4232,969,61,,47,14,2,,,
Basehor Community Library,Historical ,,,,,,,,,,,,
Basehor Community Library,Holiday,,,,,,,,,,,,
Basehor Community Library,Holiday video,,,,,,,,,,,,
Basehor Community Library,Inspirational,1,,,1,,,,,,,,
Basehor Community Library,Interlibrary Loan,1,,,1,1,,,1,,,,
Basehor Community Library,Kansas,,,,,,,,,,,,
Basehor Community Library,Kansas notable books,,,,,,,,,,,,
Basehor Community Library,Large Print,3002,3001,,1,19,19,,,2,,,
Basehor Community Library,Large Print Non-Fiction,26,25,,1,2,2,,,,,,
Basehor Community Library,LGBTQ+,,,,,,,,,,,,
Basehor Community Library,Lynda.com course,,,,,,,,,,,,
Basehor Community Library,Magazine,894,656,58,180,29,22,1,6,,,,
Basehor Community Library,Map,,,,,,,,,,,,
Basehor Community Library,McNaughton Fiction,,,,,,,,,,,,
Basehor Community Library,McNaughton Non-fiction,1,,,1,,,,,,,,
Basehor Community Library,Miscellaneous,18,2,,16,,,,,,,,
Basehor Community Library,Music : compact disc,100,1,,99,,,,,,,,
Basehor Community Library,Music : record,,,,,,,,,,,,
Basehor Community Library,Musical instrument : brass instruments,,,,,,,,,,,,
Basehor Community Library,Musical instrument : drums and percussion,,,,,,,,,,,,
Basehor Community Library,Musical instrument : misceleaneous,,,,,,,,,,,,
Basehor Community Library,Musical instrument : stringed instruments,,,,,,,,,,,,
Basehor Community Library,Musical instrument : woodwind instruments,,,,,,,,,,,,
Basehor Community Library,Mystery,,,,,,,,,,,,
Basehor Community Library,Mystery-Cozy,,,,,,,,,,,,
Basehor Community Library,Non-Fiction,11483,6826,372,4285,32,20,2,10,34,6,,
