added,ccode,homebranch,location
73,MAGAZINE,HIAWATHA,ADULT
1,MAGAZINE,HIAWATHA,CHILDRENS
1,MAGAZINE,HIAWATHA,YOUNGADULT
15,MUSIC,HIAWATHA,ADULT
9,MYSTERY,HIAWATHA,ADULT
14,NONFICTION,HIAWATHA,ADULT
2,READER,HIAWATHA,CHILDRENS
7,SF-FANT,HIAWATHA,ADULT
1,WESTERN,HIAWATHA,ADULT

11,BOOKONCD,HOLTON,ADULT
18,DVD,HOLTON,ADULT
3,DVD,HOLTON,CHILDRENS
3,EASY,HOLTON,CHILDRENS
40,FICTION,HOLTON,ADULT
16,FICTION,HOLTON,CHILDRENS
10,FICTION,HOLTON,YOUNGADULT
3,INSPRATION,HOLTON,ADULT
2,LARGEPRINT,HOLTON,ADULT
56,MAGAZINE,HOLTON,ADULT
1,MAGAZINE,HOLTON,CHILDRENS
3,MUSIC,HOLTON,CHILDRENS
13,MYSTERY,HOLTON,ADULT
15,NONFICTION,HOLTON,ADULT
1,NONFICTION,HOLTON,CHILDRENS
13,PAPERBACK,HOLTON,ADULT
6,READER,HOLTON,CHILDRENS
11,ROMANCE,HOLTON,ADULT

1,BIOGRAPHY,HORTON,ADULT
2,BIOGRAPHY,HORTON,CHILDRENS
1,DVD,HORTON,
10,DVD,HORTON,ADULT
2,DVD,HORTON,CHILDRENS
4,EASY,HORTON,CHILDRENS
9,FICTION,HORTON,ADULT
22,FICTION,HORTON,CHILDRENS
1,FICTION,HORTON,YOUNGADULT
3,INSPRATION,HORTON,ADULT
4,LARGEPRINT,HORTON,ADULT
23,MAGAZINE,HORTON,ADULT
2,MAGAZINE,HORTON,YOUNGADULT
4,MYSTERY,HORTON,ADULT
13,NONFICTION,HORTON,ADULT
11,NONFICTION,HORTON,CHILDRENS
21,PAPERBACK,HORTON,ADULT
10,READER,HORTON,CHILDRENS
1,ROMANCE,HORTON,ADULT
3,SF-FANT,HORTON,YOUNGADULT
1,WESTERN,HORTON,ADULT

29,,LEAVENWRTH,
1,,LEAVENWRTH,ADULT
4,BIOGRAPHY,LEAVENWRTH,ADULT
9,BIOGRAPHY,LEAVENWRTH,CHILDRENS
15,BOOKONCD,LEAVENWRTH,ADULT
5,BOOKONCD,LEAVENWRTH,CHILDRENS
1,BOOKONCD,LEAVENWRTH,YOUNGADULT
10,BOOKONMP,LEAVENWRTH,ADULT
57,DVD,LEAVENWRTH,ADULT
23,DVD,LEAVENWRTH,CHILDRENS
17,DVD,LEAVENWRTH,YOUNGADULT
19,EASY,LEAVENWRTH,CHILDRENS
103,FICTION,LEAVENWRTH,ADULT
30,FICTION,LEAVENWRTH,CHILDRENS
16,FICTION,LEAVENWRTH,YOUNGADULT
1,GRAPHIC,LEAVENWRTH,CHILDRENS
2,GRAPHIC,LEAVENWRTH,YOUNGADULT
18,KANSAS,LEAVENWRTH,ADULT
22,LARGEPRINT,LEAVENWRTH,ADULT
126,MAGAZINE,LEAVENWRTH,ADULT
12,MAGAZINE,LEAVENWRTH,CHILDRENS
1,MAGAZINE,LEAVENWRTH,YOUNGADULT
39,MUSIC,LEAVENWRTH,ADULT
1,MUSIC,LEAVENWRTH,CHILDRENS
120,NONFICTION,LEAVENWRTH,ADULT
88,NONFICTION,LEAVENWRTH,CHILDRENS
2,NONFICTION,LEAVENWRTH,YOUNGADULT
3,OVERSIZE,LEAVENWRTH,ADULT
5,READER,LEAVENWRTH,CHILDRENS
9,SOFTWARE,LEAVENWRTH,ADULT

1,,LINWOOD,
2,BIOGRAPHY,LINWOOD,CHILDRENS
1,COMPUTER,LINWOOD,ADULT
2,DVD,LINWOOD,
11,DVD,LINWOOD,ADULT
4,DVD,LINWOOD,CHILDRENS
26,FICTION,LINWOOD,ADULT
39,FICTION,LINWOOD,CHILDRENS
11,FICTION,LINWOOD,YOUNGADULT
1,GRAPHIC,LINWOOD,CHILDRENS
5,INSPRATION,LINWOOD,ADULT
1,KANSAS,LINWOOD,ADULT
6,LARGEPRINT,LINWOOD,ADULT
4,MYSTERY,LINWOOD,ADULT
10,NONFICTION,LINWOOD,ADULT
7,NONFICTION,LINWOOD,CHILDRENS
2,READER,LINWOOD,CHILDRENS
1,VHS,LINWOOD,ADULT

1,BIOGRAPHY,LYNDON,ADULT
3,BOOKONCD,LYNDON,YOUNGADULT
1,DVD,LYNDON,
30,DVD,LYNDON,ADULT
1,EASY,LYNDON,
3,EASY,LYNDON,CHILDRENS
26,FICTION,LYNDON,ADULT
1,FICTION,LYNDON,CART
3,FICTION,LYNDON,YOUNGADULT
3,GRAPHIC,LYNDON,YOUNGADULT
1,INSPRATION,LYNDON,ADULT
1,LARGEPRINT,LYNDON,ADULT
2,NONFICTION,LYNDON,ADULT
1,NONFICTION,LYNDON,YOUNGADULT
1,READER,LYNDON,CHILDRENS
1,VHS,LYNDON,CHILDRENS

4,BOARDBK,MCLOUTH,CHILDRENS
6,DVD,MCLOUTH,ADULT
1,DVD,MCLOUTH,CHILDRENS
1,DVD,MCLOUTH,YOUNGADULT
13,FICTION,MCLOUTH,ADULT
3,FICTION,MCLOUTH,CHILDRENS
2,LARGEPRINT,MCLOUTH,ADULT
1,NONFICTION,MCLOUTH,ADULT

1,BIOGRAPHY,MERIDEN,ADULT
3,BOARDBK,MERIDEN,CHILDRENS
12,BOOKONCD,MERIDEN,ADULT
65,DVD,MERIDEN,ADULT
12,DVD,MERIDEN,CHILDRENS
3,EASY,MERIDEN,CHILDRENS
41,FICTION,MERIDEN,ADULT
1,FICTION,MERIDEN,CHILDRENS
17,FICTION,MERIDEN,YOUNGADULT
3,GRAPHIC,MERIDEN,CHILDRENS
21,GRAPHIC,MERIDEN,YOUNGADULT
2,LARGEPRINT,MERIDEN,ADULT
1,MYSTERY,MERIDEN,ADULT
13,NONFICTION,MERIDEN,ADULT
29,NONFICTION,MERIDEN,CHILDRENS
17,PAPERBACK,MERIDEN,ADULT
1,PARENTING,MERIDEN,ADULT
1,READER,MERIDEN,CHILDRENS
5,SF-FANT,MERIDEN,ADULT

9,FICTION,NEKLS,ADULT
2,LARGEPRINT,NEKLS,ADULT
5,MAGAZINE,NEKLS,ADULT

5,BOARDBK,NORTONVLLE,CHILDRENS
1,BOOKONCASS,NORTONVLLE,YOUNGADULT
13,BOOKONCD,NORTONVLLE,CHILDRENS
9,DVD,NORTONVLLE,ADULT
5,DVD,NORTONVLLE,CHILDRENS
16,EASY,NORTONVLLE,CHILDRENS
37,FICTION,NORTONVLLE,ADULT
19,FICTION,NORTONVLLE,CHILDRENS
14,FICTION,NORTONVLLE,YOUNGADULT
1,HOLIDAY,NORTONVLLE,CHILDRENS
3,LARGEPRINT,NORTONVLLE,ADULT
