"homebranch","barcode","dateaccessioned","ccode","itemcallnumber","itype","author","title"
"SENECA",3028029180,"2011-12-07","DVD","DVD J887 LEAP","XXX",,"LeapFrog"
"SENECA",3028029156,"2011-12-02","NONFICTION","364.152p HEN",,"Henderson, Tom.","Blood in the snow :"
"WELLSVILLE",,"2011-12-19",,"J636.7","XXX","Green, Sara,","Collies /"
"WELLSVILLE",,"2011-12-19",,"J599.85","XXX","Zobel, Derek,","Chimpanzees /"
"WELLSVILLE",3018018724,"2011-12-19","FICTION","JE Loupy","XXX","Loupy, Christophe,","Don't worry, Wags /"
"WILLIAMSBG",,"2011-11-17",,,,"Schneebeli-Morrell, Deborah.","The art of papercutting /"
"WILLIAMSBG",3013015864,"2010-12-22","WESTERN","F WESTERN JOHNSTONE","XXX","Johnstone, William W.","Triumph of the mountain man ;"
"WILLIAMSBG",3013008306,"2011-01-04","NONFICTION","793.7 LEEDY",,"LOREEN LEEDY","FRACTION ACTION"
"WILLIAMSBG",3013015871,"2010-12-22","WESTERN","F WESTERN COMPTON","XXX","Compton, Ralph.","The border empire /"
"WILLIAMSBG",3013015851,"2010-12-22","FICTION","F BINCHY","XXX","Binchy, Maeve.","Nights of rain and stars /"
"WILLIAMSBG",3013015800,"2010-12-20",,,,,"BARBERSHOP 2"
"WINCHESTER",3007002005,"2008-09-15",,,"XXX",,"Fine Woodworking - August 2008"
"WINCHESTER",3007003685,"2010-09-23",,,"XXX",,"Everybody loves.......Babies"
"WINCHESTER",3007002103,"2008-10-24","DVD","DVD HOOD","XXX",,"Hoodwinked"
"WINCHESTER",3007002093,"2008-10-27","BOARDBK","E BOARD BK ZELDA","XXX",,"Zelda's Lick or Treat"
"WINCHESTER",3007002121,"2008-10-28","NEW","EASY FIC ELLIOT","XXX",,"Igor Presents The Official 51st Annual Evil Science Fair"
"WINCHESTER",,"2009-01-12","NEW","J","XXX","Rowling, J. K.","The Tales of Beedle the Bard /"
"WINCHESTER",,"2009-05-27","NONFICTION","577.4/4","XXX","Tarbox, A. D.","A prairie food chain /"
"WINCHESTER",3007003023,"2009-12-29","DVD","DVD JESUS","XXX",,"Jesus, The Son of God"
"WINCHESTER",,"2010-11-17",,,"XXX","Marshall, Anne.","Did dinosaurs baby-sit?"
"WINCHESTER",,"2011-10-17",,,"XXX",,"Midnight fright ;"
"WINCHESTER",3007004066,"2010-12-29","PAPERBACK","PB FICTION ROBERTS","XXX","Roberts, Nora.","Considering Kate /"
"WINCHESTER",3007002006,"2008-09-15",,,"XXX",,"Fine Woodworking - August 2008"
"WINCHESTER",3007004312,"2011-03-29","FICTION","E FICTION TOWNSEND",,"Townsend, Michael","Monkey & Elephant's worst fight ever! /"
