branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
"Louisburg Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyndon Carnegie Library",10,1,8,1,2,18,9,11,,8,,2,12,,8,,9,,10,12,14,11,,6,1,17,10,10,3,,,97
"McLouth Public Library",21,7,2,,,,6,1,2,2,,3,1,2,3,2,2,,3,1,1,4,3,1,,1,2,4,2,1,,51
"Meriden-Ozawkie Public Library",20,21,,,,24,13,19,26,16,,21,24,20,23,21,12,1,18,22,19,11,13,13,1,14,24,29,21,15,,192
"Northeast Kansas Library System",,,,,,,1,2,1,,,2,1,1,4,,,,1,3,,,,1,,,1,,,,,8
"Nortonville Public Library",3,4,3,1,,7,7,4,6,2,,,6,2,4,6,1,,,4,3,6,2,,,,6,5,5,2,,38
"Osage City Library",39,20,18,,,40,32,34,29,19,,36,39,41,33,26,12,,41,31,36,43,37,19,,43,27,35,29,34,,297
"Osawatomie Public Library",18,32,10,,2,40,20,18,24,11,3,32,15,23,21,22,12,1,24,15,22,25,29,9,,34,19,25,18,24,,224
"Oskaloosa Public Library",17,16,16,1,1,19,13,16,15,12,,21,11,13,23,13,4,1,14,9,12,18,13,7,1,17,8,20,23,11,,152
"Ottawa Library",63,67,30,1,7,91,81,87,62,26,3,65,66,77,62,78,32,2,70,72,59,49,64,28,3,83,66,101,72,64,,783
"Overbrook Public Library",12,22,,,2,24,13,16,9,3,1,12,20,28,10,13,3,2,18,23,12,16,26,4,,13,14,13,5,12,,153
"Paola Free Library",31,37,28,2,2,84,50,51,50,30,4,47,49,43,48,47,18,1,42,59,48,54,38,19,,50,48,49,50,33,,522
"Perry-Lecompton Community Library",3,,1,,,2,,5,,,1,,9,,2,,3,,,4,,2,,1,1,,3,,3,,,21
"Pomona Community Library",7,3,,,,1,5,6,3,3,,,2,3,5,4,,,1,1,1,2,1,2,,,2,2,2,,,26
"Prairie Hills Schools - Axtell Public School",21,15,,,,13,30,19,11,,,19,9,14,21,8,,,14,11,33,18,,,,,12,29,34,14,,114
"Prairie Hills Schools - Sabetha Elementary School",71,58,,,,86,105,97,55,,,2,2,1,1,1,,,85,70,75,64,54,,,,80,93,103,56,,381
"Prairie Hills Schools - Sabetha High School",16,2,,,,4,,2,6,,,1,,5,2,,,,3,2,1,,,,,,2,2,2,2,,41
"Prairie Hills Schools - Sabetha Middle School",4,6,,,,2,8,3,2,,,3,13,38,6,17,,,9,5,8,7,,,,,21,5,3,3,,115
"Prairie Hills Schools - Wetmore Academic Center",5,8,,,,,21,23,8,,,3,,20,20,9,,,,9,22,21,12,,,,,20,19,9,,72
"Richmond Public Library",6,9,,,,1,11,7,5,4,,9,,7,7,11,3,,11,,12,9,6,,,6,,11,7,9,,38
"Rossville Community Library",23,21,5,,1,25,12,28,14,5,,18,25,16,21,46,5,,22,17,26,17,20,,,10,20,19,24,17,,206
"Sabetha, Mary Cotton Library",27,26,15,4,3,38,25,21,39,19,,34,29,27,23,20,8,,35,35,35,31,31,14,1,32,34,30,22,29,,298
"Seneca Free Library",24,26,15,,3,32,27,23,15,10,,22,22,28,24,20,14,4,33,16,26,20,17,11,1,26,22,23,18,20,,243
"Silver Lake Library",27,18,4,,,44,23,28,23,3,,15,36,17,27,19,6,,35,23,25,24,20,2,,22,11,30,31,13,,212
"Tonganoxie Public Library",55,59,26,15,1,55,43,52,45,28,15,43,52,48,62,39,29,14,30,52,52,37,38,16,5,47,37,35,44,37,,499
"Valley Falls, Delaware Township Library",5,3,3,,,4,9,4,10,6,1,11,6,10,6,7,2,,8,6,13,7,11,4,,8,4,11,1,8,,77
"Wellsville City Library",9,16,8,,,17,21,16,10,4,1,28,14,18,19,20,1,2,12,24,19,18,19,1,3,14,14,21,74,23,,183
"Wetmore Public Library",2,6,3,,,2,5,5,4,3,,3,1,10,2,5,1,,5,4,2,1,3,9,,6,2,4,2,4,,35
"Williamsburg Community Library",1,,2,,,6,13,3,,,,1,2,8,1,,1,,9,3,8,,,,,1,1,3,1,,,37
"Winchester Public Library",6,7,1,,,6,4,8,10,,,6,6,7,6,7,2,1,3,6,4,6,4,2,,7,6,1,3,5,,52
