CHECK_OUT_LIBRARY,ITEM_TYPE,CKO_REN_ALL,CKO_REN_ADULT,CKO_REN_YA,CKO_REN_CHILD,CKO_REN_OTHER
"Bern Community Library",Music,0,0,0,0,0
"Bern Community Library",Pamphlet,0,0,0,0,0
"Bern Community Library","Reference material",0,0,0,0,0
"Bern Community Library","Reserve desk : Highland Community College",0,0,0,0,0
"Bern Community Library",Room,0,0,0,0,0
"Bern Community Library","Special collections (local requests only)",0,0,0,0,0
"Bern Community Library","Special collections (no requests allowed)",0,0,0,0,0
"Bern Community Library","Story walk",0,0,0,0,0
"Bern Community Library","Things : Artwork",0,0,0,0,0
"Bern Community Library","Things : Bicycles (and bicycle accessories)",0,0,0,0,0
"Bern Community Library","Things : Board games, dolls, puzzles, and toys",0,0,0,0,0
"Bern Community Library","Things : Clothing, costumes, and masks",0,0,0,0,0
"Bern Community Library","Things : Cooking equipment",0,0,0,0,0
"Bern Community Library","Things : Die cut equipment",0,0,0,0,0
"Bern Community Library","Things : Equipment",0,0,0,0,0
"Bern Community Library","Things : Kansas Parks Pass",0,0,0,0,0
"Bern Community Library","Things : Museum pass / event pass",0,0,0,0,0
"Bern Community Library","Things : Recreation and sports",0,0,0,0,0
"Bern Community Library","Things : Tools",0,0,0,0,0
"Bern Community Library",Video,59,48,3,8,0
"Bern Community Library","Video (Local requests only)",0,0,0,0,0
"Bern Community Library","Video (New)",0,0,0,0,0
"Bern Community Library","Video (No requests allowed)",0,0,0,0,0
"Bern Community Library","Video (Television)",14,14,0,0,0
"Bern Community Library","Video game",0,0,0,0,0
"Bonner Springs City Library",(Unclassified),0,0,0,0,0
"Bonner Springs City Library",AUDIOBOOK,83,70,2,11,0
"Bonner Springs City Library","AUDIOBOOK (MEDIA PLAYER)",6,6,0,0,0
"Bonner Springs City Library","Audiobook (new)",35,35,0,0,0
"Bonner Springs City Library",Book,4734,1648,253,2828,5
"Bonner Springs City Library","Book (local requests only)",0,0,0,0,0
"Bonner Springs City Library","Book (new)",754,338,75,341,0
"Bonner Springs City Library","Book (no requests allowed)",0,0,0,0,0
"Bonner Springs City Library","Book club set",0,0,0,0,0
"Bonner Springs City Library","Computers and internet : Laptop computer",0,0,0,0,0
"Bonner Springs City Library","Computers and internet : Launchpad tablet",0,0,0,0,0
"Bonner Springs City Library","Computers and internet : Public computer",0,0,0,0,0
"Bonner Springs City Library","Computers and internet : Software",0,0,0,0,0
"Bonner Springs City Library","Computers and internet : Tablets, e-readers, and personal computing devices",0,0,0,0,0
"Bonner Springs City Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",9,9,0,0,0
"Bonner Springs City Library","E-content : Digital content",0,0,0,0,0
"Bonner Springs City Library","E-content : E-learning course",0,0,0,0,0
"Bonner Springs City Library","Inter-library loan",82,78,0,0,4
"Bonner Springs City Library","Inter-library loan - 07 day loan",0,0,0,0,0
"Bonner Springs City Library","Inter-library loan - 14 day loan",0,0,0,0,0
"Bonner Springs City Library","Inter-library loan - 21 day loan",0,0,0,0,0
"Bonner Springs City Library","Inter-library loan - 28 day loan",0,0,0,0,0
"Bonner Springs City Library",Key,0,0,0,0,0
"Bonner Springs City Library","Kit or multi-part set",31,0,0,31,0
"Bonner Springs City Library",MAGAZINE,90,86,0,4,0
"Bonner Springs City Library","Magazine (new)",0,0,0,0,0
"Bonner Springs City Library",Music,33,24,0,9,0
"Bonner Springs City Library",Pamphlet,0,0,0,0,0
"Bonner Springs City Library","Reference material",0,0,0,0,0
"Bonner Springs City Library","Reserve desk : Highland Community College",0,0,0,0,0
"Bonner Springs City Library",Room,0,0,0,0,0
"Bonner Springs City Library","Special collections (local requests only)",0,0,0,0,0
"Bonner Springs City Library","Special collections (no requests allowed)",0,0,0,0,0
"Bonner Springs City Library","Story walk",0,0,0,0,0
"Bonner Springs City Library","Things : Artwork",0,0,0,0,0
"Bonner Springs City Library","Things : Bicycles (and bicycle accessories)",0,0,0,0,0
"Bonner Springs City Library","Things : Board games, dolls, puzzles, and toys",0,0,0,0,0
"Bonner Springs City Library","Things : Clothing, costumes, and masks",0,0,0,0,0
"Bonner Springs City Library","Things : Cooking equipment",0,0,0,0,0
"Bonner Springs City Library","Things : Die cut equipment",0,0,0,0,0
"Bonner Springs City Library","Things : Equipment",0,0,0,0,0
"Bonner Springs City Library","Things : Kansas Parks Pass",0,0,0,0,0
"Bonner Springs City Library","Things : Museum pass / event pass",4,4,0,0,0
"Bonner Springs City Library","Things : Recreation and sports",0,0,0,0,0
"Bonner Springs City Library","Things : Tools",0,0,0,0,0
"Bonner Springs City Library",Video,783,519,3,260,1
"Bonner Springs City Library","Video (Local requests only)",0,0,0,0,0
"Bonner Springs City Library","Video (New)",1,1,0,0,0
"Bonner Springs City Library","Video (No requests allowed)",0,0,0,0,0
"Bonner Springs City Library","Video (Television)",36,31,0,5,0
"Bonner Springs City Library","Video game",45,8,0,37,0
"Burlingame Community Library",(Unclassified),0,0,0,0,0
"Burlingame Community Library",AUDIOBOOK,38,27,2,9,0
"Burlingame Community Library","AUDIOBOOK (MEDIA PLAYER)",5,2,1,2,0
"Burlingame Community Library","Audiobook (new)",1,1,0,0,0
"Burlingame Community Library",Book,373,203,6,164,0
"Burlingame Community Library","Book (local requests only)",0,0,0,0,0
"Burlingame Community Library","Book (new)",0,0,0,0,0
"Burlingame Community Library","Book (no requests allowed)",0,0,0,0,0
"Burlingame Community Library","Book club set",0,0,0,0,0
"Burlingame Community Library","Computers and internet : Laptop computer",2,2,0,0,0
"Burlingame Community Library","Computers and internet : Launchpad tablet",0,0,0,0,0
"Burlingame Community Library","Computers and internet : Public computer",44,44,0,0,0
"Burlingame Community Library","Computers and internet : Software",0,0,0,0,0
"Burlingame Community Library","Computers and internet : Tablets, e-readers, and personal computing devices",0,0,0,0,0
"Burlingame Community Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",34,34,0,0,0
"Burlingame Community Library","E-content : Digital content",0,0,0,0,0
"Burlingame Community Library","E-content : E-learning course",0,0,0,0,0
"Burlingame Community Library","Inter-library loan",6,6,0,0,0
"Burlingame Community Library","Inter-library loan - 07 day loan",0,0,0,0,0
"Burlingame Community Library","Inter-library loan - 14 day loan",0,0,0,0,0
"Burlingame Community Library","Inter-library loan - 21 day loan",0,0,0,0,0
"Burlingame Community Library","Inter-library loan - 28 day loan",0,0,0,0,0
"Burlingame Community Library",Key,0,0,0,0,0
"Burlingame Community Library","Kit or multi-part set",0,0,0,0,0
"Burlingame Community Library",MAGAZINE,0,0,0,0,0
"Burlingame Community Library","Magazine (new)",0,0,0,0,0
"Burlingame Community Library",Music,0,0,0,0,0
"Burlingame Community Library",Pamphlet,0,0,0,0,0
"Burlingame Community Library","Reference material",0,0,0,0,0
"Burlingame Community Library","Reserve desk : Highland Community College",0,0,0,0,0
"Burlingame Community Library",Room,0,0,0,0,0
"Burlingame Community Library","Special collections (local requests only)",4,1,0,3,0
"Burlingame Community Library","Special collections (no requests allowed)",0,0,0,0,0
"Burlingame Community Library","Story walk",0,0,0,0,0
"Burlingame Community Library","Things : Artwork",0,0,0,0,0
"Burlingame Community Library","Things : Bicycles (and bicycle accessories)",0,0,0,0,0
"Burlingame Community Library","Things : Board games, dolls, puzzles, and toys",1,1,0,0,0
"Burlingame Community Library","Things : Clothing, costumes, and masks",0,0,0,0,0
"Burlingame Community Library","Things : Cooking equipment",0,0,0,0,0
"Burlingame Community Library","Things : Die cut equipment",0,0,0,0,0
"Burlingame Community Library","Things : Equipment",4,4,0,0,0
"Burlingame Community Library","Things : Kansas Parks Pass",0,0,0,0,0
"Burlingame Community Library","Things : Museum pass / event pass",0,0,0,0,0
"Burlingame Community Library","Things : Recreation and sports",0,0,0,0,0
"Burlingame Community Library","Things : Tools",0,0,0,0,0
"Burlingame Community Library",Video,298,219,0,79,0
"Burlingame Community Library","Video (Local requests only)",0,0,0,0,0
"Burlingame Community Library","Video (New)",2,2,0,0,0
"Burlingame Community Library","Video (No requests allowed)",0,0,0,0,0
"Burlingame Community Library","Video (Television)",8,8,0,0,0
"Burlingame Community Library","Video game",3,3,0,0,0
"Carbondale City Library",(Unclassified),0,0,0,0,0
"Carbondale City Library",AUDIOBOOK,2,1,0,1,0
"Carbondale City Library","AUDIOBOOK (MEDIA PLAYER)",0,0,0,0,0
"Carbondale City Library","Audiobook (new)",0,0,0,0,0
"Carbondale City Library",Book,610,389,83,138,0
"Carbondale City Library","Book (local requests only)",0,0,0,0,0
"Carbondale City Library","Book (new)",4,3,0,1,0
"Carbondale City Library","Book (no requests allowed)",0,0,0,0,0
"Carbondale City Library","Book club set",0,0,0,0,0
"Carbondale City Library","Computers and internet : Laptop computer",1,1,0,0,0
"Carbondale City Library","Computers and internet : Launchpad tablet",0,0,0,0,0
"Carbondale City Library","Computers and internet : Public computer",0,0,0,0,0
"Carbondale City Library","Computers and internet : Software",0,0,0,0,0
"Carbondale City Library","Computers and internet : Tablets, e-readers, and personal computing devices",0,0,0,0,0
"Carbondale City Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",0,0,0,0,0
"Carbondale City Library","E-content : Digital content",0,0,0,0,0
"Carbondale City Library","E-content : E-learning course",0,0,0,0,0
"Carbondale City Library","Inter-library loan",0,0,0,0,0
"Carbondale City Library","Inter-library loan - 07 day loan",0,0,0,0,0
"Carbondale City Library","Inter-library loan - 14 day loan",0,0,0,0,0
"Carbondale City Library","Inter-library loan - 21 day loan",0,0,0,0,0
"Carbondale City Library","Inter-library loan - 28 day loan",0,0,0,0,0
"Carbondale City Library",Key,0,0,0,0,0
"Carbondale City Library","Kit or multi-part set",1,0,0,1,0
"Carbondale City Library",MAGAZINE,0,0,0,0,0
"Carbondale City Library","Magazine (new)",0,0,0,0,0
"Carbondale City Library",Music,0,0,0,0,0
"Carbondale City Library",Pamphlet,0,0,0,0,0
"Carbondale City Library","Reference material",0,0,0,0,0
"Carbondale City Library","Reserve desk : Highland Community College",0,0,0,0,0
"Carbondale City Library",Room,0,0,0,0,0
"Carbondale City Library","Special collections (local requests only)",1,1,0,0,0
"Carbondale City Library","Special collections (no requests allowed)",0,0,0,0,0
"Carbondale City Library","Story walk",0,0,0,0,0
"Carbondale City Library","Things : Artwork",0,0,0,0,0
"Carbondale City Library","Things : Bicycles (and bicycle accessories)",0,0,0,0,0
"Carbondale City Library","Things : Board games, dolls, puzzles, and toys",0,0,0,0,0
"Carbondale City Library","Things : Clothing, costumes, and masks",0,0,0,0,0
"Carbondale City Library","Things : Cooking equipment",0,0,0,0,0
"Carbondale City Library","Things : Die cut equipment",0,0,0,0,0
"Carbondale City Library","Things : Equipment",0,0,0,0,0
"Carbondale City Library","Things : Kansas Parks Pass",0,0,0,0,0
"Carbondale City Library","Things : Museum pass / event pass",0,0,0,0,0
"Carbondale City Library","Things : Recreation and sports",0,0,0,0,0
"Carbondale City Library","Things : Tools",0,0,0,0,0
"Carbondale City Library",Video,219,177,4,38,0
"Carbondale City Library","Video (Local requests only)",0,0,0,0,0
"Carbondale City Library","Video (New)",0,0,0,0,0
"Carbondale City Library","Video (No requests allowed)",0,0,0,0,0
"Carbondale City Library","Video (Television)",1,1,0,0,0
"Carbondale City Library","Video game",2,0,1,1,0
"Centralia Community Library",(Unclassified),0,0,0,0,0
"Centralia Community Library",AUDIOBOOK,5,3,0,2,0
"Centralia Community Library","AUDIOBOOK (MEDIA PLAYER)",0,0,0,0,0
"Centralia Community Library","Audiobook (new)",0,0,0,0,0
"Centralia Community Library",Book,376,193,16,167,0
"Centralia Community Library","Book (local requests only)",0,0,0,0,0
"Centralia Community Library","Book (new)",2,1,0,1,0
"Centralia Community Library","Book (no requests allowed)",0,0,0,0,0
"Centralia Community Library","Book club set",0,0,0,0,0
"Centralia Community Library","Computers and internet : Laptop computer",0,0,0,0,0
"Centralia Community Library","Computers and internet : Launchpad tablet",0,0,0,0,0
"Centralia Community Library","Computers and internet : Public computer",0,0,0,0,0
"Centralia Community Library","Computers and internet : Software",0,0,0,0,0
"Centralia Community Library","Computers and internet : Tablets, e-readers, and personal computing devices",0,0,0,0,0
"Centralia Community Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",0,0,0,0,0
"Centralia Community Library","E-content : Digital content",0,0,0,0,0
"Centralia Community Library","E-content : E-learning course",0,0,0,0,0
