branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
"Effingham Community Library",3,,4,1,,5,2,3,,,,,,,,,,,,,,,,4,,,3,1,5,3,2,20
"Eudora Community Library",42,17,22,16,1,19,23,18,29,25,20,2,30,21,26,23,16,20,4,31,16,31,26,22,21,,12,24,24,26,22,219
"Everest, Barnes Reading Room",,3,4,,,3,4,,3,1,1,,,2,1,,4,,,2,2,1,2,3,1,,1,1,,2,4,23
"Hiawatha, Morrill Public Library",27,35,23,22,8,35,22,33,32,20,13,17,40,23,8,36,29,16,11,39,30,16,41,22,16,13,39,34,23,41,25,311
"Highland Community College",,1,1,,,1,1,2,1,1,,,,,,,,,,2,2,3,1,1,,,1,,,,1,12
"Holton, Beck-Bookman Library",36,37,41,8,,31,37,23,37,35,9,,41,38,26,26,21,9,,40,40,35,29,31,11,,46,31,19,34,35,344
"Horton Public Library",4,2,2,3,,7,6,5,1,2,1,,5,4,4,2,1,2,,7,3,5,3,2,,,3,3,1,1,3,37
"Lansing Community Library",24,54,33,25,2,27,22,36,30,58,24,1,48,27,51,33,33,18,2,36,31,25,31,22,25,1,24,26,22,48,26,377
"Leavenworth Public Library",107,105,91,78,30,92,111,99,97,113,96,53,113,115,92,97,82,68,38,104,100,124,100,83,106,39,112,126,105,90,83,1190
"Linwood Community Library",10,10,10,6,,5,9,7,7,14,4,1,7,7,7,5,8,7,,8,11,5,6,13,8,1,10,5,9,9,11,85
"Louisburg Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyndon Carnegie Library",9,12,,5,,8,11,11,8,2,10,,13,8,9,15,,5,,13,8,9,12,,8,,9,14,10,15,,102
"McLouth Public Library",5,2,5,1,,2,4,4,5,3,2,,1,4,1,2,,2,,2,8,3,2,4,,,5,3,2,1,2,40
"Meriden-Ozawkie Public Library",29,19,15,10,,14,22,12,15,19,9,1,18,28,22,14,11,14,,17,19,17,14,18,6,,20,14,22,13,12,192
"Northeast Kansas Library System",,3,,,,2,1,3,1,1,,,,3,3,2,2,,,3,3,1,4,3,,,3,5,2,3,2,16
"Nortonville Public Library",2,4,5,1,,,10,2,3,5,,,1,8,3,6,6,,1,1,5,2,9,3,1,,1,7,4,1,5,49
"Osage City Library",32,22,22,15,,55,33,26,18,40,12,1,38,39,33,25,30,16,,44,48,45,29,19,19,,36,43,34,25,34,322
"Osawatomie Public Library",24,26,15,11,1,41,21,20,10,22,8,,28,23,25,16,27,8,,31,14,19,21,18,13,1,41,17,21,27,17,246
"Oskaloosa Public Library",15,20,8,8,2,13,17,14,22,27,5,2,16,23,14,18,9,6,,18,13,18,16,13,4,1,15,14,13,15,15,160
"Ottawa Library",82,86,58,41,4,86,67,88,65,86,32,8,92,75,60,79,77,28,5,92,75,79,51,74,38,2,83,83,70,48,57,854
"Overbrook Public Library",5,8,22,7,,12,20,13,14,13,11,,15,14,15,13,16,12,1,27,15,15,21,13,7,1,14,15,17,9,6,151
"Paola Free Library",49,51,36,44,2,51,53,39,38,48,41,2,56,53,49,56,56,45,3,73,78,59,56,35,29,4,55,50,57,48,38,547
"Perry-Lecompton Community Library",,2,1,1,,,2,,8,,1,,,,,5,,2,,,4,,5,,3,,,5,,7,,23
"Pomona Community Library",1,4,2,2,,,3,2,2,6,,1,,10,1,3,3,,,,5,4,7,,1,,2,3,3,5,6,36
"Prairie Hills Schools - Axtell Public School",20,17,13,,,23,20,43,20,,,,,,,,,,,26,26,27,20,15,,,,28,37,21,10,112
"Prairie Hills Schools - Sabetha Elementary School",67,68,57,,,66,63,62,70,50,,,,,,,,1,,67,64,70,54,56,,,,64,85,82,47,355
"Prairie Hills Schools - Sabetha High School",,5,,,,3,3,4,1,1,,,,,,,,,,2,2,,2,4,,,,2,1,,1,25
"Prairie Hills Schools - Sabetha Middle School",5,5,1,,,6,5,16,7,2,,,,,,,,,,2,5,,6,,,,,9,2,,3,55
"Prairie Hills Schools - Wetmore Academic Center",16,5,18,,,,,17,16,4,,,,,,,,,,19,,4,25,9,,,,8,,6,25,71
"Richmond Public Library",9,7,4,1,,8,,5,10,7,5,,13,,11,6,3,3,,10,1,9,6,10,3,,8,,13,9,10,49
"Rossville Community Library",18,17,18,9,1,18,29,19,9,62,8,,25,34,19,17,32,12,,22,20,25,22,12,6,1,17,28,16,19,15,245
"Sabetha, Mary Cotton Library",25,28,31,14,1,31,34,25,20,44,12,1,34,38,28,14,28,16,,40,30,25,31,34,15,,29,25,25,30,26,296
"Seneca Free Library",22,23,20,10,,29,34,23,24,25,9,2,35,23,46,19,19,8,2,25,35,26,29,23,10,,24,20,19,18,20,269
"Silver Lake Library",20,23,15,5,,30,10,19,42,14,6,,15,17,16,30,12,4,2,39,11,24,36,23,6,2,11,24,24,10,20,199
"Tonganoxie Public Library",59,53,47,29,13,49,48,43,34,50,37,14,40,46,42,46,38,30,20,52,54,68,40,5,46,11,48,55,58,46,47,588
"Valley Falls, Delaware Township Library",10,3,10,4,,9,13,11,4,8,4,,2,5,8,7,7,4,1,9,6,7,2,5,4,,7,5,6,,3,71
"Wellsville City Library",24,16,18,7,,15,28,18,16,25,9,,32,25,18,17,14,8,2,15,26,15,13,25,9,,17,19,22,26,19,192
"Wetmore Public Library",4,2,3,1,,3,2,4,2,4,2,,2,3,4,1,4,2,,5,2,5,6,5,1,,3,3,6,3,5,34
"Williamsburg Community Library",11,,1,4,3,2,11,6,,,1,,14,1,7,1,,6,,10,9,6,,,2,,4,4,10,2,1,62
"Winchester Public Library",,,,1,,,,,,,,,,3,1,,,,,9,3,7,5,4,,,5,4,3,7,4,31
