branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
"Hiawatha, Morrill Public Library",18,8,30,31,19,33,32,17,9,1,42,33,53,27,10,10,31,31,28,45,18,7,11,25,33,28,34,18,6,7,19,310
"Highland Community College",,1,2,5,3,2,1,,,3,4,6,2,3,,1,3,4,6,3,2,,2,2,4,5,2,3,,1,8,39
"Holton, Beck-Bookman Library",8,,40,26,21,27,24,11,1,33,25,35,44,27,14,,35,32,27,38,33,7,,38,49,36,30,29,12,,31,366
"Horton Public Library",,,3,3,2,1,2,,,,6,,3,3,,,2,5,2,3,4,,,2,2,3,2,1,,,11,32
"Lansing Community Library",22,4,31,22,29,24,31,14,3,4,40,33,42,27,2,1,33,19,28,23,24,19,6,25,26,32,21,19,22,2,21,311
"Leavenworth Public Library",80,37,111,120,82,85,78,84,30,71,81,97,86,86,65,33,94,97,83,74,84,70,35,82,101,101,76,82,80,53,92,1043
"Linwood Community Library",1,2,5,4,8,7,10,3,,9,6,5,9,12,4,1,7,9,5,11,7,3,,6,9,4,5,7,3,,6,73
"Louisburg Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyndon Carnegie Library",14,2,16,13,10,4,,5,,1,13,8,13,,9,1,15,14,15,16,,5,,7,8,11,7,1,9,,19,111
"McLouth Public Library",1,,1,7,2,2,3,,,13,2,5,1,1,,,1,1,5,3,,1,,2,2,3,3,1,,,6,41
"Meriden-Ozawkie Public Library",11,,15,24,18,21,7,7,,18,32,17,19,16,10,,17,25,20,19,16,20,1,15,26,16,13,22,6,1,19,182
"Northeast Kansas Library System",,,4,1,1,2,,,,1,2,,1,,,,,2,1,1,,,,3,2,,2,2,,,,9
"Nortonville Public Library",1,,,7,1,4,3,,,,13,3,3,5,,,,7,2,5,5,1,,1,5,6,1,4,1,,,33
"Osage City Library",11,1,45,23,41,32,26,20,,37,34,25,24,25,17,,35,34,35,37,20,16,1,39,41,41,38,22,15,,45,289
"Osawatomie Public Library",8,1,19,14,10,21,20,13,,30,12,21,19,26,9,1,24,19,21,18,24,11,,21,15,16,11,21,9,2,31,210
"Oskaloosa Public Library",4,,16,20,22,25,13,10,,17,13,14,19,10,4,,26,14,22,18,15,6,,18,15,22,12,13,7,,15,164
"Ottawa Library",26,2,75,65,75,80,50,42,,65,68,59,67,68,34,3,69,73,74,79,81,32,5,67,55,68,77,51,33,5,71,779
"Overbrook Public Library",7,1,17,15,11,13,14,10,,7,7,12,18,14,2,,26,16,11,18,14,11,,16,18,12,20,19,5,,12,146
"Paola Free Library",19,3,45,62,30,61,30,18,2,6,60,32,54,37,25,2,45,50,44,46,32,21,1,38,47,46,39,27,38,4,35,480
"Perry-Lecompton Community Library",3,,,4,,3,,,,,6,,4,,3,,,2,,6,,1,,,4,,2,,2,,1,20
"Pomona Community Library",,,,6,5,3,1,2,,,1,1,2,,,,,,2,2,2,,,,3,2,4,1,,,,20
"Prairie Hills Schools - Axtell Public School",,,20,19,22,28,10,,,20,16,8,25,13,,,24,8,30,,,,,,16,27,27,,,,12,122
"Prairie Hills Schools - Sabetha Elementary School",,,74,69,66,65,46,,,73,65,46,87,51,,,75,62,65,1,,,,,74,88,94,48,,,68,363
"Prairie Hills Schools - Sabetha High School",,,2,1,,2,1,,,1,3,,,2,,,1,3,,,,,,,4,,1,1,,,1,20
"Prairie Hills Schools - Sabetha Middle School",,,6,23,4,6,21,,,10,12,6,4,5,,,1,13,6,1,,,,,2,3,5,3,,,10,99
"Prairie Hills Schools - Wetmore Academic Center",,,,,22,37,9,,,1,,21,16,10,,,,,22,,,,,,10,15,15,10,,,,84
"Richmond Public Library",3,,8,,11,13,8,3,,6,,12,9,10,5,,5,,9,11,6,3,,3,,,,2,,1,3,40
"Rossville Community Library",3,,12,16,16,30,18,2,,23,12,18,27,16,7,,18,24,40,35,22,3,1,13,25,24,17,20,7,,13,220
"Sabetha, Mary Cotton Library",12,1,34,29,18,22,32,15,1,25,23,21,31,33,15,,33,32,24,32,31,14,2,38,21,27,31,41,11,,26,280
"Seneca Free Library",5,,22,22,20,30,24,5,1,18,13,21,23,14,5,,33,21,19,25,17,3,3,30,26,25,24,25,11,,20,233
"Silver Lake Library",3,,31,21,22,33,13,5,,27,26,20,25,19,5,,23,26,15,26,18,6,,10,36,22,26,15,25,,12,198
"Tonganoxie Public Library",24,20,40,44,40,55,5,36,18,59,39,57,50,47,25,11,43,47,38,58,36,25,10,36,44,35,29,41,27,13,24,500
"Valley Falls, Delaware Township Library",2,,11,5,8,5,3,2,,8,5,8,5,12,2,,10,4,7,7,5,4,,7,5,8,8,5,2,,6,73
"Wellsville City Library",10,,12,16,26,24,20,5,,17,21,25,12,15,7,1,20,20,19,23,15,4,,16,98,23,14,18,7,1,16,208
"Wetmore Public Library",2,,6,3,5,,3,2,,1,,4,4,4,5,,6,3,4,1,5,,,3,7,2,2,4,3,,9,33
"Williamsburg Community Library",2,,2,2,9,1,,1,,,5,12,,,2,,1,2,8,,,1,,5,3,3,3,,2,,2,35
"Winchester Public Library",1,1,6,3,3,8,5,,,6,5,4,4,4,,,10,5,6,4,2,3,,9,10,3,3,7,,,1,50
