branchname,"COLLECTION CODE","TOTAL ITEMS","ADULT ITEMS","YOUNG ADULT ITEMS","JUVENILE ITEMS","TOTAL ADDED LM","ADULT ADDED LM","YOUNG ADULT ADDED LM","JUVENILE ADDED LM","TOTAL DELETED LM","ADULT DELETED LM","YOUNG ADULT DELETED LM","JUVENILE DELETED LM"
"Northeast Kansas Library System",VG-Gameboy,,,,,,,,,,,,
"Northeast Kansas Library System","VG-Nintendo 3DS",,,,,,,,,,,,
"Northeast Kansas Library System","VG-Nintendo DS",,,,,,,,,,,,
"Northeast Kansas Library System","VG-Nintendo Gamecube",,,,,,,,,,,,
"Northeast Kansas Library System","VG-Nintendo Switch",,,,,,,,,,,,
"Northeast Kansas Library System","VG-Nintendo Wii",,,,,,,,,,,,
"Northeast Kansas Library System","VG-Nintendo Wii U",,,,,,,,,,,,
"Northeast Kansas Library System","VG-PlayStation 2 (PS2)",,,,,,,,,,,,
"Northeast Kansas Library System","VG-PlayStation 3 (PS3)",,,,,,,,,,,,
"Northeast Kansas Library System","VG-PlayStation 4 (PS4)",,,,,,,,,,,,
"Northeast Kansas Library System","VG-PlayStation 5 (PS5)",,,,,,,,,,,,
"Northeast Kansas Library System","VG-PlayStation Portable (PSP)",,,,,,,,,,,,
"Northeast Kansas Library System",VG-XBox,,,,,,,,,,,,
"Northeast Kansas Library System","VG-XBox 360",,,,,,,,,,,,
"Northeast Kansas Library System","VG-XBox One",,,,,,,,,,,,
"Northeast Kansas Library System","VG-XBox X",,,,,,,,,,,,
"Northeast Kansas Library System","Video (Blu-ray)",3,,,3,,,,,,,,
"Northeast Kansas Library System","Video (Blu-ray/DVD combined edition)",,,,,,,,,,,,
"Northeast Kansas Library System","Video (DVD)",24,24,,,,,,,1,,,
"Northeast Kansas Library System","Video (media player)",,,,,,,,,,,,
"Northeast Kansas Library System","Video (VHS cassette)",,,,,,,,,,,,
"Northeast Kansas Library System","Video-TV series (Blu-ray)",,,,,,,,,,,,
"Northeast Kansas Library System","Video-TV series (Blu-ray/DVD combined edition)",,,,,,,,,,,,
"Northeast Kansas Library System","Video-TV series (DVD)",3,,3,,,,,,,,,
"Northeast Kansas Library System","Video-TV series (media player)",,,,,,,,,,,,
"Northeast Kansas Library System",Western,,,,,,,,,,,,
"Nortonville Public Library",(Unclassified),9,4,,5,,,,,1,,,
"Nortonville Public Library","Action & Adventure",,,,,,,,,,,,
"Nortonville Public Library","Adult literacy",,,,,,,,,,,,
"Nortonville Public Library","African American history and literature",,,,,,,,,,,,
"Nortonville Public Library","Archival materials",,,,,,,,,,,,
"Nortonville Public Library",Atlas,,,,,,,,,,,,
"Nortonville Public Library","Audiobook (cassette)",3,3,,,,,,,,,,
"Nortonville Public Library","Audiobook (CD)",156,134,1,21,,,,,,,,
"Nortonville Public Library","Audiobook (downloadable)",,,,,,,,,,,,
"Nortonville Public Library","Audiobook (media player)",68,32,15,21,,,,,,,,
"Nortonville Public Library","Audiovisual equipment",,,,,,,,,,,,
"Nortonville Public Library",Bakeware,36,36,,,,,,,,,,
"Nortonville Public Library","Battle of the books",,,,,,,,,,,,
"Nortonville Public Library",Bicycle,,,,,,,,,,,,
"Nortonville Public Library",Bilingual,,,,,,,,,,,,
"Nortonville Public Library",Binder,,,,,,,,,,,,
"Nortonville Public Library",Biography,263,61,18,184,1,,1,,,,,
"Nortonville Public Library","Blu-ray player",,,,,,,,,,,,
"Nortonville Public Library","Board Book",202,1,,201,13,,,13,,,,
"Nortonville Public Library","Chapter Books",,,,,,,,,,,,
"Nortonville Public Library",Classics,,,,,,,,,,,,
"Nortonville Public Library","Contemporary Issues",,,,,,,,,,,,
"Nortonville Public Library","Downloadable Book",,,,,,,,,,,,
"Nortonville Public Library","Downloadable Graphic Novel",,,,,,,,,,,,
"Nortonville Public Library","Downloadable Magazine",,,,,,,,,,,,
"Nortonville Public Library","Downloadable Movie",,,,,,,,,,,,
"Nortonville Public Library","Downloadable Music",,,,,,,,,,,,
"Nortonville Public Library","Downloadable TV Show",,,,,,,,,,,,
"Nortonville Public Library","Easy Reader",492,4,,488,,,,,,,,
"Nortonville Public Library",Education,1,,,1,,,,,,,,
"Nortonville Public Library",Fiction,5988,2707,945,2336,41,25,5,11,3,,,
"Nortonville Public Library",Gadget,11,2,,9,,,,,,,,
"Nortonville Public Library",Genealogy,,,,,,,,,,,,
"Nortonville Public Library","Graphic Novel",511,14,226,271,4,,2,2,,,,
"Nortonville Public Library","Historical ",,,,,,,,,,,,
"Nortonville Public Library",Holiday,156,,,156,,,,,,,,
"Nortonville Public Library","Holiday video",,,,,,,,,,,,
"Nortonville Public Library",Inspirational,,,,,,,,,,,,
"Nortonville Public Library","Interlibrary Loan",1,1,,,,,,,,,,
"Nortonville Public Library",Kansas,1,1,,,,,,,,,,
"Nortonville Public Library","Kansas notable books",8,4,1,3,,,,,,,,
"Nortonville Public Library","Large Print",248,248,,,21,21,,,,,,
"Nortonville Public Library","Large Print Non-Fiction",3,3,,,,,,,,,,
"Nortonville Public Library",LGBTQ+,,,,,,,,,,,,
"Nortonville Public Library","Lynda.com course",,,,,,,,,,,,
"Nortonville Public Library",Magazine,238,188,48,2,8,8,,,,,,
"Nortonville Public Library",Map,,,,,,,,,,,,
"Nortonville Public Library","McNaughton Fiction",,,,,,,,,,,,
"Nortonville Public Library","McNaughton Non-fiction",,,,,,,,,,,,
"Nortonville Public Library",Miscellaneous,14,5,,9,,,,,,,,
"Nortonville Public Library","Music : compact disc",6,5,,1,,,,,,,,
"Nortonville Public Library","Music : record",,,,,,,,,,,,
"Nortonville Public Library","Musical instrument : brass instruments",,,,,,,,,,,,
"Nortonville Public Library","Musical instrument : drums and percussion",,,,,,,,,,,,
"Nortonville Public Library","Musical instrument : misceleaneous",,,,,,,,,,,,
"Nortonville Public Library","Musical instrument : stringed instruments",,,,,,,,,,,,
"Nortonville Public Library","Musical instrument : woodwind instruments",,,,,,,,,,,,
"Nortonville Public Library",Mystery,,,,,,,,,,,,
"Nortonville Public Library",Mystery-Cozy,,,,,,,,,,,,
"Nortonville Public Library",Non-Fiction,1881,1099,112,670,5,1,,4,,,,
"Nortonville Public Library","On Display",,,,,,,,,,,,
"Nortonville Public Library","Online Resource",,,,,,,,,,,,
"Nortonville Public Library",Oversize,,,,,,,,,,,,
"Nortonville Public Library",Paperback,,,,,,,,,,,,
"Nortonville Public Library",Parenting,59,39,,20,,,,,1,,,
"Nortonville Public Library","Periodical - Comic books",,,,,,,,,,,,
"Nortonville Public Library","Picture Book",1308,17,,1291,3,,,3,1,,,
"Nortonville Public Library","Professional Collection",,,,,,,,,,,,
"Nortonville Public Library","Public Computer",,,,,,,,,,,,
"Nortonville Public Library","Puzzles & Board Games",84,82,,2,,,,,,,,
"Nortonville Public Library","Read and listen - easy reader",1,,,1,,,,,,,,
"Nortonville Public Library","Read and listen - fiction",,,,,,,,,,,,
"Nortonville Public Library","Read and listen - non-fiction",,,,,,,,,,,,
"Nortonville Public Library","Read and listen - picture book",,,,,,,,,,,,
"Nortonville Public Library","Record player",,,,,,,,,,,,
"Nortonville Public Library","Recreation : athletic / sports equipment",2,2,,,,,,,,,,
"Nortonville Public Library","Recreation : basketball equipment",,,,,,,,,,,,
"Nortonville Public Library","Recreation : fishing equipment",,,,,,,,,,,,
"Nortonville Public Library","Recreation : football equipment",,,,,,,,,,,,
"Nortonville Public Library","Recreation : softball / baseball equipment",,,,,,,,,,,,
"Nortonville Public Library","Recreation : tennis equipment",,,,,,,,,,,,
"Nortonville Public Library",Reference,1,1,,,,,,,,,,
"Nortonville Public Library",Romance,650,649,,1,36,36,,,274,,,
"Nortonville Public Library","Sci Fi-Fantasy",6,6,,,,,,,,,,
"Nortonville Public Library",Software,,,,,,,,,,,,
"Nortonville Public Library",Spanish,,,,,,,,,,,,
"Nortonville Public Library","Special collection - Dyslexic and Autistic Reading Engagement",53,1,,52,,,,,,,,
"Nortonville Public Library","Sports & Recreation",,,,,,,,,,,,
"Nortonville Public Library",VG--Videogame,7,3,1,3,,,,,,,,
"Nortonville Public Library",VG-Gameboy,,,,,,,,,,,,
"Nortonville Public Library","VG-Nintendo 3DS",5,,5,,,,,,,,,
"Nortonville Public Library","VG-Nintendo DS",18,,17,1,,,,,,,,
"Nortonville Public Library","VG-Nintendo Gamecube",3,,,3,,,,,,,,
"Nortonville Public Library","VG-Nintendo Switch",30,,3,27,,,,,,,,
"Nortonville Public Library","VG-Nintendo Wii",19,1,6,12,,,,,,,,
"Nortonville Public Library","VG-Nintendo Wii U",,,,,,,,,,,,
"Nortonville Public Library","VG-PlayStation 2 (PS2)",36,1,22,13,,,,,,,,
"Nortonville Public Library","VG-PlayStation 3 (PS3)",23,5,13,5,,,,,,,,
"Nortonville Public Library","VG-PlayStation 4 (PS4)",41,5,20,16,,,,,,,,
"Nortonville Public Library","VG-PlayStation 5 (PS5)",,,,,,,,,,,,
"Nortonville Public Library","VG-PlayStation Portable (PSP)",1,,1,,,,,,,,,
"Nortonville Public Library",VG-XBox,2,,1,1,,,,,,,,
"Nortonville Public Library","VG-XBox 360",153,7,145,1,,,,,1,,,
"Nortonville Public Library","VG-XBox One",80,5,67,8,,,,,,,,
"Nortonville Public Library","VG-XBox X",1,,1,,,,,,,,,
"Nortonville Public Library","Video (Blu-ray)",152,137,,15,,,,,,,,
"Nortonville Public Library","Video (Blu-ray/DVD combined edition)",9,6,,3,,,,,,,,
"Nortonville Public Library","Video (DVD)",2626,1833,3,790,8,7,,1,43,,,
"Nortonville Public Library","Video (media player)",1,1,,,,,,,,,,
"Nortonville Public Library","Video (VHS cassette)",3,,,3,,,,,,,,
"Nortonville Public Library","Video-TV series (Blu-ray)",,,,,,,,,,,,
"Nortonville Public Library","Video-TV series (Blu-ray/DVD combined edition)",,,,,,,,,,,,
"Nortonville Public Library","Video-TV series (DVD)",178,166,,12,1,1,,,,,,
"Nortonville Public Library","Video-TV series (media player)",,,,,,,,,,,,
"Nortonville Public Library",Western,90,90,,,,,,,,,,
"Osage City Library",(Unclassified),,,,,,,,,,,,
"Osage City Library","Action & Adventure",,,,,,,,,,,,
"Osage City Library","Adult literacy",,,,,,,,,,,,
"Osage City Library","African American history and literature",,,,,,,,,,,,
"Osage City Library","Archival materials",,,,,,,,,,,,
"Osage City Library",Atlas,,,,,,,,,,,,
"Osage City Library","Audiobook (cassette)",,,,,,,,,,,,
"Osage City Library","Audiobook (CD)",1040,929,,111,2,2,,,,,,
"Osage City Library","Audiobook (downloadable)",,,,,,,,,,,,
"Osage City Library","Audiobook (media player)",321,295,,26,,,,,,,,
"Osage City Library","Audiovisual equipment",,,,,,,,,,,,
"Osage City Library",Bakeware,94,94,,,,,,,,,,
"Osage City Library","Battle of the books",,,,,,,,,,,,
"Osage City Library",Bicycle,,,,,,,,,,,,
"Osage City Library",Bilingual,,,,,,,,,,,,
"Osage City Library",Binder,,,,,,,,,,,,
"Osage City Library",Biography,366,223,,143,,,,,,,,
"Osage City Library","Blu-ray player",,,,,,,,,,,,
"Osage City Library","Board Book",350,,,350,1,,,1,3,,,
"Osage City Library","Chapter Books",,,,,,,,,,,,
"Osage City Library",Classics,,,,,,,,,,,,
"Osage City Library","Contemporary Issues",,,,,,,,,,,,
"Osage City Library","Downloadable Book",,,,,,,,,,,,
"Osage City Library","Downloadable Graphic Novel",,,,,,,,,,,,
"Osage City Library","Downloadable Magazine",,,,,,,,,,,,
"Osage City Library","Downloadable Movie",,,,,,,,,,,,
"Osage City Library","Downloadable Music",,,,,,,,,,,,
"Osage City Library","Downloadable TV Show",,,,,,,,,,,,
"Osage City Library","Easy Reader",851,4,,847,5,,,5,1,,,
"Osage City Library",Education,,,,,,,,,,,,
"Osage City Library",Fiction,6773,4683,1004,1086,20,18,1,1,2,,,
"Osage City Library",Gadget,1,,,1,,,,,,,,
"Osage City Library",Genealogy,21,21,,,,,,,,,,
"Osage City Library","Graphic Novel",542,2,317,223,10,1,9,,,,,
"Osage City Library","Historical ",,,,,,,,,,,,
"Osage City Library",Holiday,255,,,255,4,,,4,25,,,
"Osage City Library","Holiday video",,,,,,,,,,,,
"Osage City Library",Inspirational,,,,,,,,,,,,
"Osage City Library","Interlibrary Loan",28,26,,2,15,15,,,4,2,,
"Osage City Library",Kansas,17,17,,,,,,,,,,
"Osage City Library","Kansas notable books",,,,,,,,,,,,
"Osage City Library","Large Print",2374,2373,1,,17,17,,,,,,
"Osage City Library","Large Print Non-Fiction",36,36,,,,,,,,,,
"Osage City Library",LGBTQ+,,,,,,,,,,,,
"Osage City Library","Lynda.com course",,,,,,,,,,,,
"Osage City Library",Magazine,167,167,,,8,8,,,,,,
"Osage City Library",Map,,,,,,,,,,,,
"Osage City Library","McNaughton Fiction",,,,,,,,,,,,
"Osage City Library","McNaughton Non-fiction",,,,,,,,,,,,
"Osage City Library",Miscellaneous,,,,,,,,,,,,
"Osage City Library","Music : compact disc",240,200,,40,,,,,,,,
"Osage City Library","Music : record",,,,,,,,,,,,
"Osage City Library","Musical instrument : brass instruments",,,,,,,,,,,,
"Osage City Library","Musical instrument : drums and percussion",,,,,,,,,,,,
"Osage City Library","Musical instrument : misceleaneous",,,,,,,,,,,,
"Osage City Library","Musical instrument : stringed instruments",,,,,,,,,,,,
"Osage City Library","Musical instrument : woodwind instruments",,,,,,,,,,,,
"Osage City Library",Mystery,,,,,,,,,,,,
"Osage City Library",Mystery-Cozy,,,,,,,,,,,,
"Osage City Library",Non-Fiction,2728,1722,1,1005,4,3,,1,,,,
"Osage City Library","On Display",,,,,,,,,,,,
"Osage City Library","Online Resource",,,,,,,,,,,,
"Osage City Library",Oversize,,,,,,,,,,,,
"Osage City Library",Paperback,785,785,,,8,8,,,3,,,
"Osage City Library",Parenting,,,,,,,,,,,,
"Osage City Library","Periodical - Comic books",,,,,,,,,,,,
"Osage City Library","Picture Book",1484,1,,1483,9,,,9,2,,,
"Osage City Library","Professional Collection",13,1,,12,,,,,,,,
"Osage City Library","Public Computer",11,11,,,,,,,,,,
"Osage City Library","Puzzles & Board Games",154,154,,,,,,,1,,,
"Osage City Library","Read and listen - easy reader",6,,,6,,,,,,,,
"Osage City Library","Read and listen - fiction",,,,,,,,,,,,
"Osage City Library","Read and listen - non-fiction",,,,,,,,,,,,
"Osage City Library","Read and listen - picture book",48,,,48,,,,,,,,
"Osage City Library","Record player",,,,,,,,,,,,
"Osage City Library","Recreation : athletic / sports equipment",,,,,,,,,,,,
"Osage City Library","Recreation : basketball equipment",,,,,,,,,,,,
"Osage City Library","Recreation : fishing equipment",,,,,,,,,,,,
"Osage City Library","Recreation : football equipment",,,,,,,,,,,,
"Osage City Library","Recreation : softball / baseball equipment",,,,,,,,,,,,
"Osage City Library","Recreation : tennis equipment",,,,,,,,,,,,
"Osage City Library",Reference,2,2,,,,,,,,,,
"Osage City Library",Romance,,,,,,,,,,,,
"Osage City Library","Sci Fi-Fantasy",,,,,,,,,,,,
"Osage City Library",Software,,,,,,,,,,,,
"Osage City Library",Spanish,,,,,,,,,,,,
"Osage City Library","Special collection - Dyslexic and Autistic Reading Engagement",,,,,,,,,,,,
"Osage City Library","Sports & Recreation",,,,,,,,,,,,
"Osage City Library",VG--Videogame,,,,,,,,,,,,
"Osage City Library",VG-Gameboy,,,,,,,,,,,,
"Osage City Library","VG-Nintendo 3DS",,,,,,,,,,,,
"Osage City Library","VG-Nintendo DS",,,,,,,,,,,,
"Osage City Library","VG-Nintendo Gamecube",11,,,11,,,,,,,,
"Osage City Library","VG-Nintendo Switch",,,,,,,,,,,,
"Osage City Library","VG-Nintendo Wii",113,11,19,83,,,,,,,,
"Osage City Library","VG-Nintendo Wii U",8,7,,1,,,,,,,,
"Osage City Library","VG-PlayStation 2 (PS2)",30,1,3,26,,,,,,,,
"Osage City Library","VG-PlayStation 3 (PS3)",43,1,11,31,,,,,,,,
"Osage City Library","VG-PlayStation 4 (PS4)",53,35,3,15,,,,,1,,,
"Osage City Library","VG-PlayStation 5 (PS5)",,,,,,,,,,,,
"Osage City Library","VG-PlayStation Portable (PSP)",,,,,,,,,,,,
"Osage City Library",VG-XBox,28,2,6,20,,,,,,,,
"Osage City Library","VG-XBox 360",51,5,21,25,,,,,,,,
"Osage City Library","VG-XBox One",28,8,5,15,,,,,,,,
"Osage City Library","VG-XBox X",1,,,1,,,,,,,,
"Osage City Library","Video (Blu-ray)",293,207,13,73,5,4,,1,,,,
"Osage City Library","Video (Blu-ray/DVD combined edition)",,,,,,,,,,,,
"Osage City Library","Video (DVD)",1497,1120,1,376,12,11,,1,5,,,
"Osage City Library","Video (media player)",,,,,,,,,,,,
"Osage City Library","Video (VHS cassette)",,,,,,,,,,,,
"Osage City Library","Video-TV series (Blu-ray)",,,,,,,,,,,,
"Osage City Library","Video-TV series (Blu-ray/DVD combined edition)",,,,,,,,,,,,
"Osage City Library","Video-TV series (DVD)",786,731,,55,6,6,,,,,,
"Osage City Library","Video-TV series (media player)",,,,,,,,,,,,
"Osage City Library",Western,1,1,,,,,,,,,,
"Osawatomie Public Library",(Unclassified),,,,,,,,,,,,
"Osawatomie Public Library","Action & Adventure",,,,,,,,,,,,
"Osawatomie Public Library","Adult literacy",,,,,,,,,,,,
"Osawatomie Public Library","African American history and literature",1,,1,,,,,,,,,
"Osawatomie Public Library","Archival materials",,,,,,,,,,,,
"Osawatomie Public Library",Atlas,,,,,,,,,,,,
"Osawatomie Public Library","Audiobook (cassette)",1,1,,,,,,,,,,
"Osawatomie Public Library","Audiobook (CD)",384,370,1,13,,,,,,,,
"Osawatomie Public Library","Audiobook (downloadable)",,,,,,,,,,,,
"Osawatomie Public Library","Audiobook (media player)",78,30,22,26,4,,,4,,,,
"Osawatomie Public Library","Audiovisual equipment",,,,,,,,,,,,
"Osawatomie Public Library",Bakeware,14,14,,,,,,,,,,
"Osawatomie Public Library","Battle of the books",,,,,,,,,,,,
"Osawatomie Public Library",Bicycle,,,,,,,,,,,,
"Osawatomie Public Library",Bilingual,,,,,,,,,,,,
"Osawatomie Public Library",Binder,,,,,,,,,,,,
"Osawatomie Public Library",Biography,161,115,3,43,1,1,,,,,,
"Osawatomie Public Library","Blu-ray player",,,,,,,,,,,,
"Osawatomie Public Library","Board Book",169,,,169,1,,,1,,,,
"Osawatomie Public Library","Chapter Books",,,,,,,,,,,,
"Osawatomie Public Library",Classics,,,,,,,,,,,,
"Osawatomie Public Library","Contemporary Issues",,,,,,,,,,,,
"Osawatomie Public Library","Downloadable Book",,,,,,,,,,,,
"Osawatomie Public Library","Downloadable Graphic Novel",,,,,,,,,,,,
"Osawatomie Public Library","Downloadable Magazine",,,,,,,,,,,,
"Osawatomie Public Library","Downloadable Movie",,,,,,,,,,,,
"Osawatomie Public Library","Downloadable Music",,,,,,,,,,,,
"Osawatomie Public Library","Downloadable TV Show",,,,,,,,,,,,
"Osawatomie Public Library","Easy Reader",371,,,371,4,,,4,,,,
"Osawatomie Public Library",Education,3,1,,2,,,,,,,,
"Osawatomie Public Library",Fiction,5687,4058,849,780,64,20,25,19,13,,,
"Osawatomie Public Library",Gadget,15,15,,,,,,,,,,
"Osawatomie Public Library",Genealogy,16,16,,,,,,,,,,
"Osawatomie Public Library","Graphic Novel",1091,126,577,388,41,1,25,15,1,,1,
"Osawatomie Public Library","Historical ",,,,,,,,,,,,
"Osawatomie Public Library",Holiday,,,,,,,,,,,,
"Osawatomie Public Library","Holiday video",,,,,,,,,,,,
"Osawatomie Public Library",Inspirational,718,718,,,,,,,1,,,
"Osawatomie Public Library","Interlibrary Loan",,,,,,,,,,,,
"Osawatomie Public Library",Kansas,181,181,,,,,,,,,,
"Osawatomie Public Library","Kansas notable books",,,,,,,,,,,,
"Osawatomie Public Library","Large Print",1120,1120,,,2,2,,,1,,,
"Osawatomie Public Library","Large Print Non-Fiction",22,22,,,,,,,,,,
"Osawatomie Public Library",LGBTQ+,,,,,,,,,,,,
"Osawatomie Public Library","Lynda.com course",,,,,,,,,,,,
"Osawatomie Public Library",Magazine,,,,,,,,,,,,
"Osawatomie Public Library",Map,,,,,,,,,,,,
"Osawatomie Public Library","McNaughton Fiction",,,,,,,,,,,,
"Osawatomie Public Library","McNaughton Non-fiction",,,,,,,,,,,,
"Osawatomie Public Library",Miscellaneous,5,5,,,,,,,,,,
"Osawatomie Public Library","Music : compact disc",1,1,,,,,,,,,,
"Osawatomie Public Library","Music : record",,,,,,,,,,,,
"Osawatomie Public Library","Musical instrument : brass instruments",,,,,,,,,,,,
"Osawatomie Public Library","Musical instrument : drums and percussion",,,,,,,,,,,,
"Osawatomie Public Library","Musical instrument : misceleaneous",,,,,,,,,,,,
"Osawatomie Public Library","Musical instrument : stringed instruments",,,,,,,,,,,,
"Osawatomie Public Library","Musical instrument : woodwind instruments",,,,,,,,,,,,
"Osawatomie Public Library",Mystery,1607,1604,3,,8,8,,,,,,
"Osawatomie Public Library",Mystery-Cozy,,,,,,,,,,,,
"Osawatomie Public Library",Non-Fiction,1769,1299,16,454,11,2,,9,3,,,1
"Osawatomie Public Library","On Display",2,2,,,,,,,,,,
"Osawatomie Public Library","Online Resource",,,,,,,,,,,,
"Osawatomie Public Library",Oversize,,,,,,,,,,,,
"Osawatomie Public Library",Paperback,1,,1,,,,,,,,,
"Osawatomie Public Library",Parenting,,,,,,,,,,,,
"Osawatomie Public Library","Periodical - Comic books",,,,,,,,,,,,
"Osawatomie Public Library","Picture Book",1411,,,1411,17,,,17,8,,,
"Osawatomie Public Library","Professional Collection",20,18,,2,,,,,,,,
"Osawatomie Public Library","Public Computer",2,2,,,,,,,,,,
"Osawatomie Public Library","Puzzles & Board Games",15,12,,3,,,,,,,,
"Osawatomie Public Library","Read and listen - easy reader",,,,,,,,,,,,
"Osawatomie Public Library","Read and listen - fiction",,,,,,,,,,,,
"Osawatomie Public Library","Read and listen - non-fiction",,,,,,,,,,,,
"Osawatomie Public Library","Read and listen - picture book",,,,,,,,,,,,
"Osawatomie Public Library","Record player",,,,,,,,,,,,
"Osawatomie Public Library","Recreation : athletic / sports equipment",,,,,,,,,,,,
"Osawatomie Public Library","Recreation : basketball equipment",,,,,,,,,,,,
"Osawatomie Public Library","Recreation : fishing equipment",,,,,,,,,,,,
"Osawatomie Public Library","Recreation : football equipment",,,,,,,,,,,,
"Osawatomie Public Library","Recreation : softball / baseball equipment",,,,,,,,,,,,
"Osawatomie Public Library","Recreation : tennis equipment",,,,,,,,,,,,
"Osawatomie Public Library",Reference,17,14,2,1,,,,,,,,
"Osawatomie Public Library",Romance,2,,2,,,,,,,,,
"Osawatomie Public Library","Sci Fi-Fantasy",327,321,5,1,,,,,,,,
"Osawatomie Public Library",Software,,,,,,,,,,,,
"Osawatomie Public Library",Spanish,5,,,5,,,,,,,,
"Osawatomie Public Library","Special collection - Dyslexic and Autistic Reading Engagement",,,,,,,,,,,,
"Osawatomie Public Library","Sports & Recreation",,,,,,,,,,,,
"Osawatomie Public Library",VG--Videogame,,,,,,,,,,,,
"Osawatomie Public Library",VG-Gameboy,,,,,,,,,,,,
"Osawatomie Public Library","VG-Nintendo 3DS",,,,,,,,,,,,
"Osawatomie Public Library","VG-Nintendo DS",,,,,,,,,,,,
"Osawatomie Public Library","VG-Nintendo Gamecube",,,,,,,,,,,,
"Osawatomie Public Library","VG-Nintendo Switch",2,1,,1,,,,,,,,
"Osawatomie Public Library","VG-Nintendo Wii",,,,,,,,,,,,
"Osawatomie Public Library","VG-Nintendo Wii U",,,,,,,,,,,,
"Osawatomie Public Library","VG-PlayStation 2 (PS2)",5,5,,,,,,,,,,
"Osawatomie Public Library","VG-PlayStation 3 (PS3)",1,,,1,,,,,,,,
"Osawatomie Public Library","VG-PlayStation 4 (PS4)",4,3,1,,,,,,,,,
"Osawatomie Public Library","VG-PlayStation 5 (PS5)",,,,,,,,,,,,
"Osawatomie Public Library","VG-PlayStation Portable (PSP)",,,,,,,,,,,,
"Osawatomie Public Library",VG-XBox,3,3,,,,,,,1,,,
"Osawatomie Public Library","VG-XBox 360",4,4,,,,,,,,,,
"Osawatomie Public Library","VG-XBox One",3,,,3,,,,,,,,
"Osawatomie Public Library","VG-XBox X",,,,,,,,,,,,
"Osawatomie Public Library","Video (Blu-ray)",58,50,,8,,,,,,,,
"Osawatomie Public Library","Video (Blu-ray/DVD combined edition)",3,2,,1,,,,,,,,
"Osawatomie Public Library","Video (DVD)",1885,1557,,328,5,1,,4,4,,,
"Osawatomie Public Library","Video (media player)",2,2,,,,,,,,,,
"Osawatomie Public Library","Video (VHS cassette)",,,,,,,,,,,,
"Osawatomie Public Library","Video-TV series (Blu-ray)",,,,,,,,,,,,
"Osawatomie Public Library","Video-TV series (Blu-ray/DVD combined edition)",,,,,,,,,,,,
"Osawatomie Public Library","Video-TV series (DVD)",384,383,,1,,,,,1,,,
"Osawatomie Public Library","Video-TV series (media player)",,,,,,,,,,,,
"Osawatomie Public Library",Western,452,452,,,5,5,,,,,,
"Oskaloosa Public Library",(Unclassified),2,2,,,,,,,,,,
"Oskaloosa Public Library","Action & Adventure",,,,,,,,,,,,
"Oskaloosa Public Library","Adult literacy",,,,,,,,,,,,
"Oskaloosa Public Library","African American history and literature",,,,,,,,,,,,
"Oskaloosa Public Library","Archival materials",,,,,,,,,,,,
"Oskaloosa Public Library",Atlas,,,,,,,,,,,,
"Oskaloosa Public Library","Audiobook (cassette)",,,,,,,,,,,,
"Oskaloosa Public Library","Audiobook (CD)",396,344,7,45,,,,,,,,
"Oskaloosa Public Library","Audiobook (downloadable)",,,,,,,,,,,,
"Oskaloosa Public Library","Audiobook (media player)",,,,,,,,,,,,
"Oskaloosa Public Library","Audiovisual equipment",,,,,,,,,,,,
"Oskaloosa Public Library",Bakeware,,,,,,,,,,,,
"Oskaloosa Public Library","Battle of the books",,,,,,,,,,,,
"Oskaloosa Public Library",Bicycle,,,,,,,,,,,,
"Oskaloosa Public Library",Bilingual,,,,,,,,,,,,
"Oskaloosa Public Library",Binder,,,,,,,,,,,,
"Oskaloosa Public Library",Biography,259,146,2,111,,,,,,,,
"Oskaloosa Public Library","Blu-ray player",,,,,,,,,,,,
"Oskaloosa Public Library","Board Book",147,,,147,,,,,,,,
"Oskaloosa Public Library","Chapter Books",,,,,,,,,,,,
"Oskaloosa Public Library",Classics,2,,2,,,,,,,,,
"Oskaloosa Public Library","Contemporary Issues",,,,,,,,,,,,
"Oskaloosa Public Library","Downloadable Book",,,,,,,,,,,,
"Oskaloosa Public Library","Downloadable Graphic Novel",,,,,,,,,,,,
"Oskaloosa Public Library","Downloadable Magazine",,,,,,,,,,,,
"Oskaloosa Public Library","Downloadable Movie",,,,,,,,,,,,
"Oskaloosa Public Library","Downloadable Music",,,,,,,,,,,,
"Oskaloosa Public Library","Downloadable TV Show",,,,,,,,,,,,
"Oskaloosa Public Library","Easy Reader",764,2,,762,,,,,,,,
"Oskaloosa Public Library",Education,1,,1,,,,,,,,,
"Oskaloosa Public Library",Fiction,3822,2515,252,1055,3,1,1,1,1,,,
"Oskaloosa Public Library",Gadget,8,6,,2,1,1,,,,,,
"Oskaloosa Public Library",Genealogy,,,,,,,,,,,,
"Oskaloosa Public Library","Graphic Novel",182,1,145,36,1,,1,,,,,
"Oskaloosa Public Library","Historical ",,,,,,,,,,,,
"Oskaloosa Public Library",Holiday,1,,,1,,,,,,,,
"Oskaloosa Public Library","Holiday video",,,,,,,,,,,,
"Oskaloosa Public Library",Inspirational,,,,,,,,,,,,
"Oskaloosa Public Library","Interlibrary Loan",5,4,1,,,,,,1,,,
"Oskaloosa Public Library",Kansas,255,255,,,,,,,,,,
"Oskaloosa Public Library","Kansas notable books",,,,,,,,,,,,
"Oskaloosa Public Library","Large Print",579,579,,,1,1,,,,,,
"Oskaloosa Public Library","Large Print Non-Fiction",1,1,,,,,,,,,,
