branchname,"COLLECTION CODE","TOTAL ITEMS","ADULT ITEMS","YOUNG ADULT ITEMS","JUVENILE ITEMS","TOTAL ADDED LM","ADULT ADDED LM","YOUNG ADULT ADDED LM","JUVENILE ADDED LM","TOTAL DELETED LM","ADULT DELETED LM","YOUNG ADULT DELETED LM","JUVENILE DELETED LM"
"Baldwin City Public Library","Blu-ray player",,,,,,,,,,,,
"Baldwin City Public Library","Board Book",204,1,,203,,,,,,,,
"Baldwin City Public Library","Chapter Books",,,,,,,,,,,,
"Baldwin City Public Library",Classics,,,,,,,,,,,,
"Baldwin City Public Library","Contemporary Issues",,,,,,,,,,,,
"Baldwin City Public Library","Downloadable Book",,,,,,,,,,,,
"Baldwin City Public Library","Downloadable Graphic Novel",,,,,,,,,,,,
"Baldwin City Public Library","Downloadable Magazine",,,,,,,,,,,,
"Baldwin City Public Library","Downloadable Movie",,,,,,,,,,,,
"Baldwin City Public Library","Downloadable Music",,,,,,,,,,,,
"Baldwin City Public Library","Downloadable TV Show",,,,,,,,,,,,
"Baldwin City Public Library","Easy Reader",972,7,3,962,9,,,9,,,,
"Baldwin City Public Library",Education,1,,,1,,,,,,,,
"Baldwin City Public Library",Fiction,11621,7931,1200,2490,33,21,5,7,6,,,
"Baldwin City Public Library",Gadget,19,11,1,7,,,,,,,,
"Baldwin City Public Library",Genealogy,52,46,,6,3,,,3,,,,
"Baldwin City Public Library","Graphic Novel",981,18,483,480,13,,2,11,1,,,
"Baldwin City Public Library","Historical ",,,,,,,,,,,,
"Baldwin City Public Library",Holiday,,,,,,,,,,,,
"Baldwin City Public Library","Holiday video",,,,,,,,,,,,
"Baldwin City Public Library",Inspirational,2,,,2,,,,,,,,
"Baldwin City Public Library","Interlibrary Loan",7,6,,1,5,4,,1,2,1,,
"Baldwin City Public Library",Kansas,473,463,1,9,,,,,,,,
"Baldwin City Public Library","Kansas notable books",3,,,3,,,,,,,,
"Baldwin City Public Library","Large Print",473,473,,,6,6,,,,,,
"Baldwin City Public Library","Large Print Non-Fiction",55,53,,2,1,,,1,,,,
"Baldwin City Public Library",LGBTQ+,,,,,,,,,,,,
"Baldwin City Public Library","Lynda.com course",,,,,,,,,,,,
"Baldwin City Public Library",Magazine,57,49,3,5,6,5,,1,5,,,
"Baldwin City Public Library",Map,,,,,,,,,,,,
"Baldwin City Public Library","McNaughton Fiction",,,,,,,,,,,,
"Baldwin City Public Library","McNaughton Non-fiction",3,1,,2,,,,,,,,
"Baldwin City Public Library",Miscellaneous,82,76,,6,,,,,,,,
"Baldwin City Public Library","Music : compact disc",6,5,,1,,,,,,,,
"Baldwin City Public Library","Music : record",,,,,,,,,,,,
"Baldwin City Public Library","Musical instrument : brass instruments",,,,,,,,,,,,
"Baldwin City Public Library","Musical instrument : drums and percussion",,,,,,,,,,,,
"Baldwin City Public Library","Musical instrument : misceleaneous",1,,,1,,,,,,,,
"Baldwin City Public Library","Musical instrument : stringed instruments",,,,,,,,,,,,
"Baldwin City Public Library","Musical instrument : woodwind instruments",,,,,,,,,,,,
"Baldwin City Public Library",Mystery,1,1,,,,,,,,,,
"Baldwin City Public Library",Mystery-Cozy,,,,,,,,,,,,
"Baldwin City Public Library",Non-Fiction,4414,2660,30,1724,1,1,,,,,,
"Baldwin City Public Library","On Display",,,,,,,,,,,,
"Baldwin City Public Library","Online Resource",,,,,,,,,,,,
"Baldwin City Public Library",Oversize,,,,,,,,,,,,
"Baldwin City Public Library",Paperback,1,1,,,,,,,,,,
"Baldwin City Public Library",Parenting,27,12,,15,,,,,,,,
"Baldwin City Public Library","Periodical - Comic books",,,,,,,,,,,,
"Baldwin City Public Library","Picture Book",3326,15,,3311,13,,,13,2,,,
"Baldwin City Public Library","Professional Collection",5,5,,,,,,,,,,
"Baldwin City Public Library","Public Computer",8,8,,,,,,,,,,
"Baldwin City Public Library","Puzzles & Board Games",17,,3,14,,,,,2,,,
"Baldwin City Public Library","Read and listen - easy reader",3,,,3,,,,,,,,
"Baldwin City Public Library","Read and listen - fiction",,,,,,,,,,,,
"Baldwin City Public Library","Read and listen - non-fiction",,,,,,,,,,,,
"Baldwin City Public Library","Read and listen - picture book",1,,,1,,,,,,,,
"Baldwin City Public Library","Record player",,,,,,,,,,,,
"Baldwin City Public Library","Recreation : athletic / sports equipment",,,,,,,,,,,,
"Baldwin City Public Library","Recreation : basketball equipment",,,,,,,,,,,,
"Baldwin City Public Library","Recreation : fishing equipment",,,,,,,,,,,,
"Baldwin City Public Library","Recreation : football equipment",,,,,,,,,,,,
"Baldwin City Public Library","Recreation : softball / baseball equipment",,,,,,,,,,,,
"Baldwin City Public Library","Recreation : tennis equipment",,,,,,,,,,,,
"Baldwin City Public Library",Reference,13,9,1,3,,,,,,,,
"Baldwin City Public Library",Romance,,,,,,,,,,,,
"Baldwin City Public Library","Sci Fi-Fantasy",1,1,,,,,,,,,,
"Baldwin City Public Library",Software,,,,,,,,,,,,
"Baldwin City Public Library",Spanish,,,,,,,,,,,,
