branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
"Lyndon Carnegie Library",1,11,,,16,13,10,,9,,9,14,5,8,,9,,16,10,5,8,1,6,1,11,14,7,9,,4,,87
"McLouth Public Library",2,2,,,2,2,4,2,,,3,1,2,4,2,2,,4,2,3,4,6,2,,3,2,2,4,4,4,,42
"Meriden-Ozawkie Public Library",21,9,,,30,15,13,19,8,,19,18,24,14,18,6,1,16,13,23,15,19,6,,18,17,13,19,14,8,,203
"Northeast Kansas Library System",2,1,,,,2,1,,,,,3,1,2,,,,4,1,1,,1,,,3,3,,,1,,,7
"Nortonville Public Library",5,,,,6,4,3,3,1,,,7,5,5,6,2,,,6,5,4,4,3,,,7,5,7,10,,,47
"Osage City Library",28,13,,,41,30,43,26,12,,32,39,25,26,37,16,,41,33,33,36,28,21,,37,37,33,35,22,23,,296
"Osawatomie Public Library",15,7,,2,40,13,17,31,12,1,26,24,12,24,17,2,1,31,24,18,23,25,13,,29,18,28,13,29,9,,227
"Oskaloosa Public Library",10,9,3,4,17,10,9,12,6,1,22,15,10,10,10,2,1,16,11,11,10,8,11,,13,11,11,16,10,8,,127
"Ottawa Library",65,26,,6,107,78,69,73,36,2,75,85,78,66,71,25,1,101,79,84,54,58,37,3,104,57,48,67,53,31,,794
"Overbrook Public Library",17,,,,20,16,13,7,9,,17,11,14,10,13,7,,17,12,14,9,13,15,2,19,10,14,12,11,11,,148
"Paola Free Library",33,43,1,4,75,71,47,57,35,2,57,58,43,53,32,39,2,67,53,54,45,48,35,1,64,58,71,55,45,23,,556
"Perry-Lecompton Community Library",,2,,,5,,4,,,,1,4,,4,,,,1,3,,1,1,1,,,2,1,4,1,,,18
"Pomona Community Library",1,4,,,2,2,3,4,3,,,3,,3,5,,,1,2,1,1,,1,,,4,3,2,1,2,,27
"Prairie Hills Schools - Axtell Public School",15,,,,24,32,24,20,,,22,38,32,35,8,,,25,27,20,38,23,,,,34,12,,19,,,128
"Prairie Hills Schools - Sabetha Elementary School",44,,,,120,90,64,47,,,3,1,1,,6,,,86,77,46,51,42,,,,119,66,55,46,,,364
"Prairie Hills Schools - Sabetha High School",2,,,,,,4,1,,,3,,2,1,5,,,,2,2,1,1,,,,,2,1,1,,,20
"Prairie Hills Schools - Sabetha Middle School",3,,,,7,3,3,3,,,35,,9,12,3,,,26,5,5,3,18,,,,5,9,7,7,,,106
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richmond Public Library",9,,,,,16,10,6,,1,7,,12,7,10,4,,10,1,12,5,4,4,3,11,,10,11,10,3,,39
"Rossville Community Library",25,8,,,22,17,16,20,9,,18,26,42,26,19,8,,14,18,15,22,18,8,3,21,18,16,25,12,8,,223
"Sabetha, Mary Cotton Library",34,19,,2,29,39,21,28,12,,34,24,37,19,33,16,1,38,30,33,35,28,15,1,44,31,33,17,33,14,,303
"Seneca Free Library",18,13,,1,37,19,39,25,14,1,26,27,7,26,25,17,,27,30,23,19,19,20,,21,31,16,20,17,10,,250
"Silver Lake Library",19,8,,,16,13,33,19,2,2,28,26,18,23,21,2,,35,17,16,18,14,5,,25,29,20,28,13,5,,181
"Tonganoxie Public Library",44,30,14,5,60,47,48,32,35,30,36,42,34,51,51,32,21,51,36,46,48,43,30,22,58,40,40,41,38,29,,535
"Valley Falls, Delaware Township Library",13,9,1,,8,5,4,9,6,,4,6,9,6,11,5,,7,5,7,6,11,6,,7,3,14,4,8,8,,62
"Wellsville City Library",21,7,,1,18,13,15,18,9,1,15,5,21,13,19,4,,19,14,25,19,20,2,1,20,10,31,12,16,4,,168
"Wetmore Public Library",3,1,,,10,2,3,4,1,,4,2,5,1,11,6,,5,1,4,3,11,1,,5,1,6,,6,1,,36
"Williamsburg Community Library",,3,,,3,12,2,,1,,12,,13,1,,4,,8,3,7,1,,1,,10,2,10,1,,2,,50
"Winchester Public Library",5,1,1,,7,5,9,5,,,2,6,5,9,8,,,7,9,5,6,9,1,2,6,7,7,8,6,1,,56
