branchname,DATE,DAY,HOUR,CKO,RENEW,RETURNS,TOTAL_CKO_RENEW_RETURN,CKO_BORROWERS,RENEW_BORROWERS,CKO_AND_RENEW_BORROWERS
"Atchison Public Library",2023-09-12,Tuesday,"21:00 - 21:59",0,2,0,2,0,1,1
"Atchison Public Library",2023-09-12,Tuesday,"22:00 - 22:59",0,2,0,2,0,1,1
"Atchison Public Library",2023-09-13,Wednesday,"8:00 - 8:59",0,0,5,5,0,0,
"Atchison Public Library",2023-09-13,Wednesday,"9:00 - 9:59",1,3,90,94,1,1,2
"Atchison Public Library",2023-09-13,Wednesday,"10:00 - 10:59",3,1,49,53,2,1,2
"Atchison Public Library",2023-09-13,Wednesday,"11:00 - 11:59",8,5,130,143,2,1,3
"Atchison Public Library",2023-09-13,Wednesday,"12:00 - 12:59",10,1,26,37,4,1,5
"Atchison Public Library",2023-09-13,Wednesday,"13:00 - 13:59",31,54,24,109,9,2,10
"Atchison Public Library",2023-09-13,Wednesday,"14:00 - 14:59",10,3,37,50,7,2,8
"Atchison Public Library",2023-09-13,Wednesday,"15:00 - 15:59",30,5,78,113,10,4,12
"Atchison Public Library",2023-09-13,Wednesday,"16:00 - 16:59",30,2,22,54,6,1,7
"Atchison Public Library",2023-09-13,Wednesday,"17:00 - 17:59",9,0,25,34,3,0,3
"Atchison Public Library",2023-09-13,Wednesday,"18:00 - 18:59",10,0,21,31,4,0,4
"Atchison Public Library",2023-09-13,Wednesday,"19:00 - 19:59",1,0,3,4,1,0,1
"Atchison Public Library",2023-09-13,Wednesday,"22:00 - 22:59",0,2,0,2,0,1,1
"Atchison Public Library",2023-09-14,Thursday,"8:00 - 8:59",0,11,9,20,0,2,2
"Atchison Public Library",2023-09-14,Thursday,"9:00 - 9:59",5,0,27,32,3,0,3
"Atchison Public Library",2023-09-14,Thursday,"10:00 - 10:59",19,15,167,201,4,2,6
"Atchison Public Library",2023-09-14,Thursday,"11:00 - 11:59",34,7,80,121,7,2,8
"Atchison Public Library",2023-09-14,Thursday,"12:00 - 12:59",24,0,67,91,7,0,7
"Atchison Public Library",2023-09-14,Thursday,"13:00 - 13:59",18,2,24,44,11,2,11
"Atchison Public Library",2023-09-14,Thursday,"14:00 - 14:59",6,14,33,53,4,4,8
"Atchison Public Library",2023-09-14,Thursday,"15:00 - 15:59",13,20,8,41,5,2,7
"Atchison Public Library",2023-09-14,Thursday,"16:00 - 16:59",10,0,18,28,4,0,4
"Atchison Public Library",2023-09-14,Thursday,"17:00 - 17:59",7,2,13,22,2,1,2
"Atchison Public Library",2023-09-14,Thursday,"18:00 - 18:59",12,2,9,23,2,1,3
"Atchison Public Library",2023-09-14,Thursday,"19:00 - 19:59",10,0,13,23,4,0,4
"Atchison Public Library",2023-09-14,Thursday,"23:00 - 23:59",0,7,0,7,0,1,1
"Atchison Public Library",2023-09-15,Friday,"7:00 - 7:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-15,Friday,"8:00 - 8:59",0,0,10,10,0,0,
"Atchison Public Library",2023-09-15,Friday,"9:00 - 9:59",9,0,118,127,3,0,3
"Atchison Public Library",2023-09-15,Friday,"10:00 - 10:59",31,1,40,72,7,1,8
"Atchison Public Library",2023-09-15,Friday,"11:00 - 11:59",3,1,66,70,3,1,4
"Atchison Public Library",2023-09-15,Friday,"12:00 - 12:59",10,0,19,29,7,0,7
"Atchison Public Library",2023-09-15,Friday,"13:00 - 13:59",18,2,29,49,8,2,8
"Atchison Public Library",2023-09-15,Friday,"14:00 - 14:59",11,13,10,34,6,3,9
"Atchison Public Library",2023-09-15,Friday,"15:00 - 15:59",14,8,40,62,8,1,9
"Atchison Public Library",2023-09-15,Friday,"16:00 - 16:59",27,2,16,45,8,1,8
"Atchison Public Library",2023-09-15,Friday,"17:00 - 17:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-15,Friday,"18:00 - 18:59",0,3,0,3,0,1,1
"Atchison Public Library",2023-09-16,Saturday,"8:00 - 8:59",0,0,66,66,0,0,
"Atchison Public Library",2023-09-16,Saturday,"9:00 - 9:59",9,1,37,47,5,1,6
"Atchison Public Library",2023-09-16,Saturday,"10:00 - 10:59",44,13,75,132,13,3,16
"Atchison Public Library",2023-09-16,Saturday,"11:00 - 11:59",38,4,97,139,5,2,7
"Atchison Public Library",2023-09-16,Saturday,"12:00 - 12:59",25,3,59,87,6,3,7
"Atchison Public Library",2023-09-16,Saturday,"13:00 - 13:59",12,0,6,18,4,0,4
"Atchison Public Library",2023-09-16,Saturday,"14:00 - 14:59",0,21,0,21,0,1,1
"Atchison Public Library",2023-09-17,Sunday,"12:00 - 12:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-17,Sunday,"13:00 - 13:59",0,4,0,4,0,3,3
"Atchison Public Library",2023-09-17,Sunday,"17:00 - 17:59",0,3,0,3,0,1,1
"Atchison Public Library",2023-09-17,Sunday,"20:00 - 20:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-18,Monday,"6:00 - 6:59",0,11,0,11,0,2,2
"Atchison Public Library",2023-09-18,Monday,"8:00 - 8:59",0,0,1,1,0,0,
"Atchison Public Library",2023-09-18,Monday,"9:00 - 9:59",11,0,211,222,2,0,2
"Atchison Public Library",2023-09-18,Monday,"10:00 - 10:59",3,0,24,27,3,0,3
"Atchison Public Library",2023-09-18,Monday,"11:00 - 11:59",8,24,48,80,1,3,4
"Atchison Public Library",2023-09-18,Monday,"12:00 - 12:59",17,2,26,45,8,1,8
"Atchison Public Library",2023-09-18,Monday,"13:00 - 13:59",15,4,37,56,7,2,9
"Atchison Public Library",2023-09-18,Monday,"14:00 - 14:59",12,9,37,58,4,1,5
"Atchison Public Library",2023-09-18,Monday,"15:00 - 15:59",15,2,16,33,3,1,3
"Atchison Public Library",2023-09-18,Monday,"16:00 - 16:59",18,7,6,31,7,2,8
"Atchison Public Library",2023-09-18,Monday,"17:00 - 17:59",23,2,68,93,6,2,7
"Atchison Public Library",2023-09-18,Monday,"18:00 - 18:59",21,4,23,48,5,2,5
"Atchison Public Library",2023-09-18,Monday,"19:00 - 19:59",10,1,131,142,1,1,1
"Atchison Public Library",2023-09-18,Monday,"20:00 - 20:59",0,7,0,7,0,1,1
"Atchison Public Library",2023-09-19,Tuesday,"4:00 - 4:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-19,Tuesday,"6:00 - 6:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-19,Tuesday,"8:00 - 8:59",0,0,60,60,0,0,
"Atchison Public Library",2023-09-19,Tuesday,"9:00 - 9:59",75,5,30,110,6,2,8
"Atchison Public Library",2023-09-19,Tuesday,"10:00 - 10:59",8,0,89,97,5,0,5
"Atchison Public Library",2023-09-19,Tuesday,"11:00 - 11:59",15,12,83,110,3,4,7
"Atchison Public Library",2023-09-19,Tuesday,"12:00 - 12:59",7,8,14,29,4,3,6
"Atchison Public Library",2023-09-19,Tuesday,"13:00 - 13:59",18,7,29,54,8,3,9
"Atchison Public Library",2023-09-19,Tuesday,"14:00 - 14:59",12,3,59,74,6,2,7
"Atchison Public Library",2023-09-19,Tuesday,"15:00 - 15:59",5,8,34,47,4,2,5
"Atchison Public Library",2023-09-19,Tuesday,"16:00 - 16:59",4,6,17,27,3,1,4
"Atchison Public Library",2023-09-19,Tuesday,"17:00 - 17:59",21,1,52,74,7,1,7
"Atchison Public Library",2023-09-19,Tuesday,"18:00 - 18:59",2,3,33,38,2,3,4
"Atchison Public Library",2023-09-19,Tuesday,"19:00 - 19:59",6,0,20,26,1,0,1
"Atchison Public Library",2023-09-19,Tuesday,"20:00 - 20:59",2,5,0,7,1,1,1
"Atchison Public Library",2023-09-19,Tuesday,"21:00 - 21:59",0,11,0,11,0,1,1
"Atchison Public Library",2023-09-19,Tuesday,"22:00 - 22:59",0,9,0,9,0,1,1
"Atchison Public Library",2023-09-20,Wednesday,"7:00 - 7:59",0,4,0,4,0,1,1
"Atchison Public Library",2023-09-20,Wednesday,"8:00 - 8:59",0,0,7,7,0,0,
"Atchison Public Library",2023-09-20,Wednesday,"9:00 - 9:59",1,3,108,112,1,1,2
"Atchison Public Library",2023-09-20,Wednesday,"10:00 - 10:59",23,7,65,95,5,3,7
"Atchison Public Library",2023-09-20,Wednesday,"11:00 - 11:59",29,2,38,69,5,2,7
"Atchison Public Library",2023-09-20,Wednesday,"12:00 - 12:59",17,0,64,81,7,0,7
"Atchison Public Library",2023-09-20,Wednesday,"13:00 - 13:59",17,2,28,47,10,1,11
"Atchison Public Library",2023-09-20,Wednesday,"14:00 - 14:59",30,8,69,107,7,2,8
"Atchison Public Library",2023-09-20,Wednesday,"15:00 - 15:59",33,0,22,55,4,0,4
"Atchison Public Library",2023-09-20,Wednesday,"16:00 - 16:59",29,6,20,55,5,3,5
"Atchison Public Library",2023-09-20,Wednesday,"17:00 - 17:59",55,3,44,102,10,2,11
"Atchison Public Library",2023-09-20,Wednesday,"18:00 - 18:59",8,0,20,28,2,0,2
"Atchison Public Library",2023-09-20,Wednesday,"19:00 - 19:59",1,1,25,27,1,1,2
"Atchison Public Library",2023-09-21,Thursday,"1:00 - 1:59",0,3,0,3,0,1,1
"Atchison Public Library",2023-09-21,Thursday,"8:00 - 8:59",0,0,11,11,0,0,
"Atchison Public Library",2023-09-21,Thursday,"9:00 - 9:59",4,22,94,120,3,1,3
"Atchison Public Library",2023-09-21,Thursday,"10:00 - 10:59",24,1,44,69,5,1,5
"Atchison Public Library",2023-09-21,Thursday,"11:00 - 11:59",51,0,53,104,7,0,7
"Atchison Public Library",2023-09-21,Thursday,"12:00 - 12:59",19,1,57,77,10,1,11
"Atchison Public Library",2023-09-21,Thursday,"13:00 - 13:59",18,2,18,38,5,2,7
"Atchison Public Library",2023-09-21,Thursday,"14:00 - 14:59",36,4,24,64,6,2,8
"Atchison Public Library",2023-09-21,Thursday,"15:00 - 15:59",17,0,18,35,8,0,8
"Atchison Public Library",2023-09-21,Thursday,"16:00 - 16:59",37,3,34,74,6,3,8
"Atchison Public Library",2023-09-21,Thursday,"17:00 - 17:59",3,0,24,27,2,0,2
"Atchison Public Library",2023-09-21,Thursday,"18:00 - 18:59",0,15,11,26,0,3,3
"Atchison Public Library",2023-09-21,Thursday,"19:00 - 19:59",0,0,6,6,0,0,
"Atchison Public Library",2023-09-22,Friday,"7:00 - 7:59",0,5,0,5,0,1,1
"Atchison Public Library",2023-09-22,Friday,"8:00 - 8:59",0,4,2,6,0,2,2
"Atchison Public Library",2023-09-22,Friday,"9:00 - 9:59",7,3,132,142,3,3,6
"Atchison Public Library",2023-09-22,Friday,"10:00 - 10:59",8,2,7,17,4,2,6
"Atchison Public Library",2023-09-22,Friday,"11:00 - 11:59",38,1,21,60,6,1,7
"Atchison Public Library",2023-09-22,Friday,"12:00 - 12:59",22,5,49,76,5,2,7
"Atchison Public Library",2023-09-22,Friday,"13:00 - 13:59",14,0,48,62,4,0,4
"Atchison Public Library",2023-09-22,Friday,"14:00 - 14:59",14,0,50,64,5,0,5
"Atchison Public Library",2023-09-22,Friday,"15:00 - 15:59",17,2,47,66,8,2,8
"Atchison Public Library",2023-09-22,Friday,"16:00 - 16:59",56,5,36,97,8,1,9
"Atchison Public Library",2023-09-22,Friday,"17:00 - 17:59",3,0,6,9,2,0,2
"Atchison Public Library",2023-09-23,Saturday,"6:00 - 6:59",0,2,0,2,0,1,1
"Atchison Public Library",2023-09-23,Saturday,"8:00 - 8:59",0,0,13,13,0,0,
"Atchison Public Library",2023-09-23,Saturday,"9:00 - 9:59",6,0,20,26,4,0,4
"Atchison Public Library",2023-09-23,Saturday,"10:00 - 10:59",11,4,48,63,4,1,5
"Atchison Public Library",2023-09-23,Saturday,"11:00 - 11:59",24,0,45,69,9,0,9
"Atchison Public Library",2023-09-23,Saturday,"12:00 - 12:59",15,0,23,38,5,0,5
"Atchison Public Library",2023-09-23,Saturday,"13:00 - 13:59",10,4,20,34,4,1,4
"Atchison Public Library",2023-09-23,Saturday,"14:00 - 14:59",1,3,0,4,1,2,3
"Atchison Public Library",2023-09-23,Saturday,"15:00 - 15:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-23,Saturday,"18:00 - 18:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-23,Saturday,"21:00 - 21:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-23,Saturday,"22:00 - 22:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-24,Sunday,"9:00 - 9:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-24,Sunday,"11:00 - 11:59",0,2,0,2,0,1,1
"Atchison Public Library",2023-09-24,Sunday,"13:00 - 13:59",0,4,0,4,0,2,2
"Atchison Public Library",2023-09-24,Sunday,"14:00 - 14:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-24,Sunday,"15:00 - 15:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-24,Sunday,"20:00 - 20:59",0,5,0,5,0,1,1
"Atchison Public Library",2023-09-24,Sunday,"21:00 - 21:59",0,4,0,4,0,2,2
"Atchison Public Library",2023-09-24,Sunday,"22:00 - 22:59",0,6,0,6,0,1,1
"Atchison Public Library",2023-09-25,Monday,"8:00 - 8:59",0,0,57,57,0,0,
"Atchison Public Library",2023-09-25,Monday,"9:00 - 9:59",1,2,36,39,1,1,2
"Atchison Public Library",2023-09-25,Monday,"10:00 - 10:59",34,0,104,138,9,0,9
"Atchison Public Library",2023-09-25,Monday,"11:00 - 11:59",12,8,56,76,6,2,6
"Atchison Public Library",2023-09-25,Monday,"12:00 - 12:59",16,0,20,36,6,0,6
"Atchison Public Library",2023-09-25,Monday,"13:00 - 13:59",22,1,42,65,9,1,10
"Atchison Public Library",2023-09-25,Monday,"14:00 - 14:59",22,6,55,83,5,1,6
"Atchison Public Library",2023-09-25,Monday,"15:00 - 15:59",6,12,26,44,3,4,7
"Atchison Public Library",2023-09-25,Monday,"16:00 - 16:59",6,0,11,17,5,0,5
"Atchison Public Library",2023-09-25,Monday,"17:00 - 17:59",9,0,42,51,3,0,3
"Atchison Public Library",2023-09-25,Monday,"18:00 - 18:59",2,1,24,27,1,1,2
"Atchison Public Library",2023-09-25,Monday,"19:00 - 19:59",12,1,64,77,2,1,3
"Atchison Public Library",2023-09-26,Tuesday,"6:00 - 6:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-26,Tuesday,"7:00 - 7:59",0,2,0,2,0,2,2
"Atchison Public Library",2023-09-26,Tuesday,"8:00 - 8:59",0,0,4,4,0,0,
"Atchison Public Library",2023-09-26,Tuesday,"9:00 - 9:59",1,9,38,48,1,1,2
"Atchison Public Library",2023-09-26,Tuesday,"10:00 - 10:59",38,5,126,169,10,1,11
"Atchison Public Library",2023-09-26,Tuesday,"11:00 - 11:59",8,0,87,95,3,0,3
"Atchison Public Library",2023-09-26,Tuesday,"12:00 - 12:59",19,0,44,63,9,0,9
"Atchison Public Library",2023-09-26,Tuesday,"13:00 - 13:59",6,7,2,15,2,1,3
"Atchison Public Library",2023-09-26,Tuesday,"14:00 - 14:59",23,7,58,88,7,3,10
"Atchison Public Library",2023-09-26,Tuesday,"15:00 - 15:59",2,1,34,37,2,1,3
"Atchison Public Library",2023-09-26,Tuesday,"16:00 - 16:59",29,7,95,131,8,2,8
"Atchison Public Library",2023-09-26,Tuesday,"17:00 - 17:59",12,0,38,50,4,0,4
"Atchison Public Library",2023-09-26,Tuesday,"18:00 - 18:59",20,0,33,53,6,0,6
"Atchison Public Library",2023-09-26,Tuesday,"19:00 - 19:59",31,2,3,36,4,1,4
"Atchison Public Library",2023-09-26,Tuesday,"22:00 - 22:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-27,Wednesday,"8:00 - 8:59",0,2,18,20,0,2,2
"Atchison Public Library",2023-09-27,Wednesday,"9:00 - 9:59",4,5,79,88,2,2,4
"Atchison Public Library",2023-09-27,Wednesday,"10:00 - 10:59",27,0,55,82,6,0,6
"Atchison Public Library",2023-09-27,Wednesday,"11:00 - 11:59",13,1,75,89,6,1,7
"Atchison Public Library",2023-09-27,Wednesday,"12:00 - 12:59",22,2,20,44,6,2,8
"Atchison Public Library",2023-09-27,Wednesday,"13:00 - 13:59",9,0,17,26,4,0,4
"Atchison Public Library",2023-09-27,Wednesday,"14:00 - 14:59",20,0,18,38,7,0,7
