branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
"Perry-Lecompton Community Library",,3,,2,,,2,,5,,3,,,4,1,5,,4,1,,,1,,1,2,,,3,1,2,,21
"Pomona Community Library",2,4,2,,,1,2,2,6,,,1,1,4,4,6,4,,,,3,1,,,1,,,1,6,4,,30
"Prairie Hills Schools - Axtell Public School",19,26,12,,,11,15,10,18,10,,,13,28,20,29,12,,,3,19,,,,,,18,20,11,31,,115
"Prairie Hills Schools - Sabetha Elementary School",48,54,44,,,83,50,70,49,42,,,66,70,54,48,42,,,73,68,,,,,,75,65,53,54,,353
"Prairie Hills Schools - Sabetha High School",,,1,,,1,1,2,1,2,,,2,2,,1,,,,6,2,,,,,,1,2,4,,,20
"Prairie Hills Schools - Sabetha Middle School",4,14,4,,,25,5,5,1,3,,,37,4,2,1,2,,,17,13,,,,,,13,14,2,1,,107
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richmond Public Library",10,12,7,5,1,13,,12,9,10,,,12,1,17,10,10,,,11,,11,,,,,10,,13,11,,38
"Rossville Community Library",17,19,20,6,,14,29,20,22,17,6,,43,30,15,19,27,9,1,20,35,12,,1,6,1,22,36,28,17,,223
"Sabetha, Mary Cotton Library",39,26,32,14,2,46,28,33,23,21,14,1,30,27,32,24,32,11,2,30,33,33,1,24,9,1,34,30,23,29,,284
"Seneca Free Library",30,27,15,10,4,32,26,29,28,14,,,28,20,22,21,16,10,,28,36,19,,11,1,1,27,29,24,32,,240
"Silver Lake Library",18,17,14,7,,32,14,17,15,13,3,,22,16,19,9,25,7,1,49,26,17,,,3,2,36,23,12,14,,166
"Tonganoxie Public Library",43,43,34,25,14,45,46,54,57,51,33,17,37,47,35,53,45,38,12,37,52,40,,35,30,14,45,54,52,53,,524
"Valley Falls, Delaware Township Library",7,3,15,5,,5,4,9,5,9,2,,6,5,7,6,14,2,3,12,8,8,,4,2,,5,5,8,7,,67
"Wellsville City Library",25,16,16,5,,19,16,16,10,16,7,,10,25,22,19,26,5,3,15,19,22,,4,,1,16,21,14,19,,162
"Wetmore Public Library",3,3,11,2,,9,4,3,5,8,,,7,1,6,5,4,3,,5,6,5,,1,,,4,5,,6,,40
"Williamsburg Community Library",14,,,2,,2,1,18,,,,,1,8,7,2,1,2,,7,3,2,,,,,9,4,18,3,,68
"Winchester Public Library",5,13,4,3,,9,11,4,6,6,1,,5,2,6,8,6,4,1,4,7,6,1,,,,1,5,4,10,,53
