CHECK_OUT_LIBRARY,ITEM_TYPE,CKO_REN_ALL,CKO_REN_ADULT,CKO_REN_YA,CKO_REN_CHILD,CKO_REN_OTHER
"Centralia Community Library","Inter-library loan",0,0,0,0,0
"Centralia Community Library","Inter-library loan - 07 day loan",0,0,0,0,0
"Centralia Community Library","Inter-library loan - 14 day loan",0,0,0,0,0
"Centralia Community Library","Inter-library loan - 21 day loan",0,0,0,0,0
"Centralia Community Library","Inter-library loan - 28 day loan",0,0,0,0,0
"Centralia Community Library",Key,0,0,0,0,0
"Centralia Community Library","Kit or multi-part set",0,0,0,0,0
"Centralia Community Library",MAGAZINE,0,0,0,0,0
"Centralia Community Library","Magazine (new)",0,0,0,0,0
"Centralia Community Library",Music,0,0,0,0,0
"Centralia Community Library",Pamphlet,0,0,0,0,0
"Centralia Community Library","Reference material",0,0,0,0,0
"Centralia Community Library","Reserve desk : Highland Community College",0,0,0,0,0
"Centralia Community Library",Room,0,0,0,0,0
"Centralia Community Library","Special collections (local requests only)",0,0,0,0,0
"Centralia Community Library","Special collections (no requests allowed)",0,0,0,0,0
"Centralia Community Library","Story walk",0,0,0,0,0
"Centralia Community Library","Things : Artwork",0,0,0,0,0
"Centralia Community Library","Things : Bicycles (and bicycle accessories)",0,0,0,0,0
"Centralia Community Library","Things : Board games, dolls, puzzles, and toys",0,0,0,0,0
"Centralia Community Library","Things : Clothing, costumes, and masks",0,0,0,0,0
"Centralia Community Library","Things : Cooking equipment",0,0,0,0,0
"Centralia Community Library","Things : Die cut equipment",0,0,0,0,0
"Centralia Community Library","Things : Equipment",0,0,0,0,0
"Centralia Community Library","Things : Kansas Parks Pass",0,0,0,0,0
"Centralia Community Library","Things : Museum pass / event pass",0,0,0,0,0
"Centralia Community Library","Things : Recreation and sports",0,0,0,0,0
"Centralia Community Library","Things : Tools",0,0,0,0,0
"Centralia Community Library",Video,41,30,2,9,0
"Centralia Community Library","Video (Local requests only)",0,0,0,0,0
"Centralia Community Library","Video (New)",1,1,0,0,0
"Centralia Community Library","Video (No requests allowed)",0,0,0,0,0
"Centralia Community Library","Video (Television)",0,0,0,0,0
"Centralia Community Library","Video game",0,0,0,0,0
"Corning City Library",(Unclassified),0,0,0,0,0
"Corning City Library",AUDIOBOOK,0,0,0,0,0
