branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
"Oskaloosa Public Library",16,16,12,7,2,20,15,16,17,20,9,,15,15,13,1,20,8,,15,21,17,18,15,6,,27,12,,,,138
"Ottawa Library",72,98,73,31,1,88,69,69,71,62,53,2,67,54,73,32,97,44,4,66,73,79,79,71,32,4,73,56,,,,827
"Overbrook Public Library",16,9,9,9,1,11,14,14,11,20,7,,11,14,12,,19,10,,22,17,16,6,15,5,,13,12,,,,132
"Paola Free Library",32,50,36,35,2,44,49,49,47,57,30,,73,40,40,30,45,30,3,4,71,57,62,55,29,,62,63,,,,501
"Perry-Lecompton Community Library",,4,,1,,1,2,,2,,3,,,3,,,,3,1,,6,,1,1,1,,,3,,,,17
"Pomona Community Library",1,2,4,,,,2,1,3,3,,,,1,1,2,3,1,,3,4,3,6,3,,,,1,,,,20
"Prairie Hills Schools - Axtell Public School",8,10,8,,,6,,,,28,,,8,11,29,,15,,,,17,24,18,13,,,23,15,,,,107
"Prairie Hills Schools - Sabetha Elementary School",68,67,60,,,64,61,76,45,67,,,71,70,56,,79,,,,65,69,69,84,,,63,65,,,,350
"Prairie Hills Schools - Sabetha High School",5,4,6,,,1,2,3,1,6,,,8,8,10,,5,,,,12,4,15,1,,,,4,,,,76
"Prairie Hills Schools - Sabetha Middle School",6,5,,,,7,5,,5,4,,,10,6,5,,1,,,,8,6,8,39,,,6,12,,,,88
"Prairie Hills Schools - Wetmore Academic Center",18,14,8,,,,,17,13,7,,,,,19,,10,,,,,16,19,6,,,,,,,,60
"Richmond Public Library",10,3,6,4,,8,,9,8,12,8,,9,,7,9,10,1,,1,2,13,11,9,7,,13,,,,,41
"Rossville Community Library",19,21,24,8,1,27,15,16,18,19,5,2,13,33,28,,32,8,1,1,24,25,29,17,8,,21,22,,,,211
"Sabetha, Mary Cotton Library",40,24,30,21,1,21,41,32,33,43,13,1,28,26,35,12,24,19,3,27,38,27,26,36,19,,30,22,,,,281
"Seneca Free Library",25,31,20,8,,23,21,24,23,23,10,1,39,23,25,12,20,13,1,22,25,23,22,3,22,,50,23,,,,244
"Silver Lake Library",32,10,29,4,,28,14,21,28,22,3,1,10,46,25,6,22,7,,,26,23,49,16,6,1,19,30,,,,188
"Tonganoxie Public Library",38,45,53,25,22,46,50,53,35,49,31,10,42,39,54,23,55,28,12,44,43,82,46,53,30,21,56,48,,,,532
"Valley Falls, Delaware Township Library",7,5,8,3,1,11,1,4,,6,6,,5,3,4,2,13,5,,8,6,11,2,10,4,,6,8,,,,64
"Wellsville City Library",20,13,25,8,1,23,17,23,15,19,16,,24,10,21,11,24,8,,70,20,21,15,19,15,1,20,16,,,,182
"Wetmore Public Library",3,9,5,1,,1,1,2,2,5,1,1,2,2,6,,4,2,,2,2,4,,7,2,,6,1,,,,26
"Williamsburg Community Library",11,1,,2,,1,10,4,1,,1,,6,5,10,1,,3,,,9,4,1,1,3,,8,11,,,,56
"Winchester Public Library",6,10,11,4,,4,9,7,,5,,,,,1,,,,,,,1,,,,,,,,,,34
