branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
"Effingham Community Library",5,18,4,4,3,,8,2,2,7,3,2,,4,6,1,4,2,3,,3,2,6,7,4,,1,4,3,5,5,48
"Eudora Community Library",23,40,21,21,11,2,32,23,25,26,26,15,2,27,19,25,20,21,19,1,30,17,14,24,25,19,4,39,21,34,20,238
"Everest, Barnes Reading Room",2,,,,3,,1,6,,3,1,2,,3,,,5,1,1,,2,1,,4,1,2,,2,4,,3,29
"Hiawatha, Morrill Public Library",31,21,35,28,12,8,43,33,30,34,31,13,11,33,34,27,39,23,17,4,25,24,29,26,27,17,8,20,33,31,28,318
"Highland Community College",,1,,,,,,,1,,,,,,1,1,1,,,,2,1,4,1,3,,,7,1,4,4,22
"Holton, Beck-Bookman Library",32,31,41,23,13,,28,26,27,35,26,9,,33,27,31,35,36,15,,25,24,34,36,31,16,,30,23,34,46,357
"Horton Public Library",7,2,2,2,,,2,5,1,,1,2,,2,,1,2,4,,,3,7,3,1,3,1,,4,2,4,7,42
"Lansing Community Library",29,29,42,35,32,2,35,42,37,33,23,24,5,26,43,26,33,24,20,2,39,37,32,43,23,30,5,44,31,37,38,413
"Leavenworth Public Library",106,96,87,91,70,40,123,105,105,116,85,67,39,22,146,131,98,82,79,32,104,108,109,94,99,81,43,102,96,122,103,1150
"Linwood Community Library",6,10,9,7,,1,5,7,10,6,17,4,2,9,12,6,8,5,5,1,10,9,7,8,8,7,,7,8,12,9,87
"Louisburg Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyndon Carnegie Library",10,13,10,1,5,,6,12,4,16,1,3,1,15,15,17,12,,9,,10,12,19,14,,7,1,14,11,11,10,115
"McLouth Public Library",4,7,2,,,,1,4,4,5,1,2,,5,3,5,3,1,,1,2,3,4,4,2,2,,3,2,7,6,47
"Meriden-Ozawkie Public Library",26,26,18,22,13,1,18,28,17,27,20,13,1,14,20,16,17,13,4,,21,27,27,23,17,6,1,16,18,20,14,216
"Northeast Kansas Library System",2,,1,3,,,3,4,1,,1,,,1,,,1,1,,,1,,2,1,2,,,3,1,1,4,9
"Nortonville Public Library",8,6,8,7,2,,,5,8,7,5,1,,,6,1,3,2,3,,,6,8,6,6,1,,,12,5,2,52
"Osage City Library",45,31,28,32,11,,38,48,30,35,27,15,,44,25,35,33,28,23,,37,44,28,36,26,19,,42,43,30,34,314
"Osawatomie Public Library",21,17,14,40,11,,17,27,20,26,34,16,,29,23,18,14,16,10,3,45,25,20,17,25,14,1,29,18,17,18,254
"Oskaloosa Public Library",12,12,12,8,6,1,11,9,16,9,10,6,,18,11,15,14,15,8,,13,10,9,16,10,10,,12,12,13,16,140
"Ottawa Library",89,70,80,76,38,2,88,101,73,75,61,22,3,95,66,79,68,64,37,5,100,85,59,85,72,39,4,99,85,67,83,872
"Overbrook Public Library",19,9,17,23,8,,20,23,14,20,20,9,1,23,16,23,11,10,7,2,10,16,14,19,12,11,1,8,17,17,15,178
"Paola Free Library",55,48,71,38,28,3,66,52,63,57,37,33,1,65,59,54,54,33,37,6,62,48,56,63,51,35,3,57,53,45,43,586
"Perry-Lecompton Community Library",3,2,3,,1,,,5,1,1,,1,,,2,1,3,,2,,,4,,2,,1,1,,1,,6,22
"Pomona Community Library",1,1,,8,,,,3,2,1,3,6,,,3,1,,,,,1,,,,,1,,,5,1,5,25
"Prairie Hills Schools - Axtell Public School",,,,,,,,,,,,,,,,2,15,37,,,22,35,52,36,37,,,26,25,22,31,151
"Prairie Hills Schools - Sabetha Elementary School",,,,,,,,,,,1,,,1,,3,45,46,,,92,82,57,58,48,,,94,82,58,61,362
"Prairie Hills Schools - Sabetha High School",,,,,,,,,,,,,,,,,,3,,,9,6,4,1,1,,,5,3,27,2,52
"Prairie Hills Schools - Sabetha Middle School",,,,,,,,,,,,,,,,,,90,,,15,10,27,34,16,,,33,3,3,4,145
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richmond Public Library",,8,5,4,1,,,,2,3,5,,,5,3,10,6,10,6,,12,1,14,9,11,5,,13,,13,11,34
"Rossville Community Library",18,15,29,25,8,1,11,36,17,21,16,,1,47,22,12,15,23,15,2,9,5,21,24,23,8,1,30,23,83,28,263
"Sabetha, Mary Cotton Library",30,32,25,30,11,,36,30,32,25,25,17,1,28,28,30,18,26,17,1,32,27,50,29,30,18,1,37,26,29,18,324
"Seneca Free Library",35,32,34,26,7,1,25,34,29,26,25,7,3,29,24,20,23,25,8,,29,33,32,28,21,16,1,22,22,25,24,299
"Silver Lake Library",38,20,27,18,5,,30,29,17,18,17,7,,13,10,22,29,11,7,1,36,14,15,30,24,1,,29,25,20,30,197
"Tonganoxie Public Library",60,59,31,53,22,10,63,52,44,55,52,25,13,46,44,47,60,58,36,13,48,44,50,44,55,27,20,33,40,39,49,602
"Valley Falls, Delaware Township Library",9,8,7,7,2,,10,9,7,3,12,3,,10,5,8,4,11,6,,6,3,9,4,11,4,,5,8,8,10,73
"Wellsville City Library",11,16,14,21,11,,15,12,20,13,16,13,,17,13,9,15,13,10,1,21,16,12,15,13,6,1,20,10,16,16,187
"Wetmore Public Library",13,6,3,6,,,4,5,2,5,5,2,,3,11,5,3,3,5,,4,2,11,4,4,3,,4,3,3,3,43
"Williamsburg Community Library",,6,,,1,,7,,8,2,,4,,9,1,6,2,,,,7,3,14,1,1,1,,6,2,11,3,60
"Winchester Public Library",5,9,10,5,3,,7,3,4,8,7,4,,4,4,10,8,5,,,5,11,7,8,8,1,,6,9,5,8,69
