branchname,"""COLLECTION CODE""","TOTAL ITEMS","ADULT ITEMS","YOUNG ADULT ITEMS","JUVENILE ITEMS","TOTAL ADDED LM","ADULT ADDED LM","YOUNG ADULT ADDED LM","JUVENILE ADDED LM","TOTAL DELETED LM","ADULT DELETED LM","YOUNG ADULT DELETED LM","JUVENILE DELETED LM"
"Baldwin City Public Library","Downloadable Book",,,,,,,,,,,,
"Baldwin City Public Library","Downloadable Graphic Novel",,,,,,,,,,,,
"Baldwin City Public Library","Downloadable Magazine",,,,,,,,,,,,
"Baldwin City Public Library","Downloadable Movie",,,,,,,,,,,,
"Baldwin City Public Library","Downloadable Music",,,,,,,,,,,,
"Baldwin City Public Library","Downloadable TV Show",,,,,,,,,,,,
"Baldwin City Public Library","Easy Reader",927,8,,919,5,,,5,,,,
"Baldwin City Public Library",Education,1,,,1,,,,,,,,
"Baldwin City Public Library",Fiction,11377,7762,1184,2431,43,36,3,4,5,,,
"Baldwin City Public Library",Gadget,28,20,1,7,,,,,,,,
"Baldwin City Public Library",Genealogy,49,48,,1,,,,,,,,
"Baldwin City Public Library","Graphic Novel",911,16,465,430,13,1,3,9,,,,
"Baldwin City Public Library","Historical ",,,,,,,,,,,,
"Baldwin City Public Library",Holiday,,,,,,,,,,,,
"Baldwin City Public Library","Holiday video",,,,,,,,,,,,
"Baldwin City Public Library",Inspirational,2,,,2,,,,,,,,
"Baldwin City Public Library","Interlibrary Loan",28,26,1,1,11,10,1,,,,,
"Baldwin City Public Library",Kansas,402,391,1,10,1,1,,,,,,
"Baldwin City Public Library","Kansas notable books",3,,,3,,,,,,,,
"Baldwin City Public Library","Large Print",470,469,,1,2,2,,,,,,
"Baldwin City Public Library","Large Print Non-Fiction",53,51,,2,1,,,1,,,,
"Baldwin City Public Library",LGBTQ+,,,,,,,,,,,,
"Baldwin City Public Library","Lynda.com course",,,,,,,,,,,,
"Baldwin City Public Library",Magazine,85,78,3,4,3,2,,1,,,,
"Baldwin City Public Library",Map,,,,,,,,,,,,
"Baldwin City Public Library","McNaughton Fiction",,,,,,,,,,,,
"Baldwin City Public Library","McNaughton Non-fiction",3,1,,2,,,,,,,,
"Baldwin City Public Library",Miscellaneous,102,98,,4,,,,,,,,
"Baldwin City Public Library","Music : compact disc",6,5,,1,,,,,,,,
"Baldwin City Public Library","Music : record",,,,,,,,,,,,
"Baldwin City Public Library",Mystery,1,1,,,,,,,,,,
"Baldwin City Public Library",Mystery-Cozy,,,,,,,,,,,,
"Baldwin City Public Library",Non-Fiction,4449,2727,31,1691,10,4,,6,1,,,
"Baldwin City Public Library","On Display",,,,,,,,,,,,
"Baldwin City Public Library","Online Resource",,,,,,,,,,,,
"Baldwin City Public Library",Oversize,,,,,,,,,,,,
"Baldwin City Public Library",Paperback,1,1,,,,,,,,,,
"Baldwin City Public Library",Parenting,27,12,,15,,,,,,,,
"Baldwin City Public Library","Periodical - Comic books",,,,,,,,,,,,
"Baldwin City Public Library","Picture Book",3268,20,,3248,16,,,16,5,,,
"Baldwin City Public Library","Professional Collection",5,5,,,,,,,,,,
"Baldwin City Public Library","Public Computer",8,8,,,,,,,,,,
"Baldwin City Public Library","Puzzles & Board Games",19,,4,15,,,,,,,,
"Baldwin City Public Library","Read and listen - easy reader",1,,,1,,,,,,,,
"Baldwin City Public Library","Read and listen - fiction",,,,,,,,,,,,
"Baldwin City Public Library","Read and listen - non-fiction",,,,,,,,,,,,
"Baldwin City Public Library","Read and listen - picture book",1,,,1,,,,,,,,
"Baldwin City Public Library","Recreation : athletic / sports equipment",,,,,,,,,,,,
"Baldwin City Public Library","Recreation : basketball equipment",,,,,,,,,,,,
"Baldwin City Public Library","Recreation : fishing equipment",,,,,,,,,,,,
"Baldwin City Public Library","Recreation : football equipment",,,,,,,,,,,,
"Baldwin City Public Library","Recreation : softball / baseball equipment",,,,,,,,,,,,
"Baldwin City Public Library","Recreation : tennis equipment",,,,,,,,,,,,
"Baldwin City Public Library",Reference,5,5,,,,,,,,,,
"Baldwin City Public Library",Romance,,,,,,,,,,,,
"Baldwin City Public Library","Sci Fi-Fantasy",1,1,,,,,,,,,,
"Baldwin City Public Library",Software,,,,,,,,,,,,
"Baldwin City Public Library",Spanish,,,,,,,,,,,,
"Baldwin City Public Library","Special collection - Dyslexic and Autistic Reading Engagement",,,,,,,,,,,,
"Baldwin City Public Library","Sports & Recreation",,,,,,,,,,,,
"Baldwin City Public Library",VG--Videogame,2,1,,1,,,,,,,,
"Baldwin City Public Library",VG-Gameboy,,,,,,,,,,,,
"Baldwin City Public Library","VG-Nintendo 3DS",,,,,,,,,,,,
"Baldwin City Public Library","VG-Nintendo DS",,,,,,,,,,,,
"Baldwin City Public Library","VG-Nintendo Gamecube",,,,,,,,,,,,
"Baldwin City Public Library","VG-Nintendo Switch",1,,,1,,,,,,,,
"Baldwin City Public Library","VG-Nintendo Wii",18,18,,,,,,,,,,
"Baldwin City Public Library","VG-Nintendo Wii U",7,7,,,,,,,,,,
