branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
"Highland Community College",,,,,,1,,,,,3,2,1,1,,,1,,,,1,,,,2,,1,2,,,,10
"Holton, Beck-Bookman Library",10,,37,29,32,48,20,6,,29,40,25,47,19,15,,39,30,15,36,31,14,,40,25,24,28,26,11,,,342
"Horton Public Library",,,1,1,4,6,1,,,2,2,1,6,4,,,4,4,,1,1,2,,5,2,1,2,4,,,,31
"Lansing Community Library",25,,30,21,34,30,30,17,4,38,23,32,35,23,18,7,32,27,46,28,18,1,3,47,32,29,39,19,27,2,,333
"Leavenworth Public Library",73,49,100,106,86,90,104,52,13,107,100,106,99,91,77,40,89,107,90,92,89,78,52,122,93,110,95,89,71,40,,1084
"Linwood Community Library",3,,8,6,5,8,8,10,,5,4,5,8,9,5,,8,5,9,9,7,2,,5,12,4,3,3,4,1,,70
"Louisburg Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyndon Carnegie Library",4,,13,7,8,11,,4,,13,5,8,8,,5,,9,13,11,7,,3,,11,16,6,10,,4,1,,85
"McLouth Public Library",2,,5,2,6,2,2,3,,2,2,7,3,3,2,,1,2,3,2,2,3,,5,2,7,3,,1,,,36
"Meriden-Ozawkie Public Library",5,2,14,18,20,23,19,2,,13,21,16,12,12,1,,9,18,24,17,15,7,1,14,11,21,13,14,5,,,167
"Northeast Kansas Library System",1,,1,1,1,1,3,,,2,2,,1,1,,1,,2,,,2,,,3,1,2,,1,,1,,11
"Nortonville Public Library",1,,,8,4,3,6,3,,,5,5,10,4,3,,,4,8,9,9,,1,2,3,3,5,5,1,,,45
"Osage City Library",,,33,46,39,20,29,6,,23,41,37,31,34,17,,34,39,38,36,13,14,,32,45,27,43,17,21,1,,290
"Osawatomie Public Library",8,,22,18,12,18,23,1,1,24,24,16,18,18,14,1,38,20,16,19,22,12,1,33,15,16,31,17,9,,,211
"Oskaloosa Public Library",10,,14,12,11,17,14,7,1,14,10,13,19,20,8,1,12,12,17,14,19,6,1,17,16,13,10,8,10,,,144
"Ottawa Library",42,3,83,69,77,75,79,23,1,91,69,52,47,78,31,4,64,85,65,66,62,37,,71,64,58,76,80,21,7,,762
"Overbrook Public Library",13,,12,16,15,8,10,5,,14,17,15,17,13,11,,15,14,15,13,13,16,1,11,9,15,10,10,9,,,131
"Paola Free Library",28,,47,65,55,57,37,25,2,63,54,36,48,43,29,1,66,59,57,42,48,10,2,69,55,59,53,51,31,2,,525
"Perry-Lecompton Community Library",3,,,2,,3,1,,,,5,,5,,2,,,2,,3,,1,,,4,,2,,1,,,19
"Pomona Community Library",,,,4,6,1,2,1,,,1,3,2,,1,,,2,2,3,3,1,,,4,2,,2,4,,,27
"Prairie Hills Schools - Axtell Public School",,,18,16,27,23,,,,,10,29,15,14,,,14,10,9,13,6,,,7,12,18,10,14,,,,89
"Prairie Hills Schools - Sabetha Elementary School",,,68,58,67,76,,,,67,53,61,50,46,,,5,,4,4,1,,,62,71,47,46,69,,,,325
"Prairie Hills Schools - Sabetha High School",,,2,,4,3,,,,1,2,,,1,,,2,2,,2,3,,,,,2,2,,,,,19
"Prairie Hills Schools - Sabetha Middle School",,,6,27,8,16,,,,5,17,4,3,2,,,7,17,2,,,,,1,2,1,,,,,,87
"Prairie Hills Schools - Wetmore Academic Center",,,,9,,10,,,,2,,,26,15,,,,,15,6,15,,,,,17,4,7,,,,49
"Richmond Public Library",5,,11,,14,6,9,2,,8,2,9,7,11,1,,15,1,16,4,11,2,,10,5,13,14,6,3,,,44
"Rossville Community Library",9,,24,24,15,22,17,1,,2,33,25,47,11,7,1,14,13,22,38,12,4,,22,29,18,14,21,4,1,,201
"Sabetha, Mary Cotton Library",13,1,29,39,32,38,30,16,1,28,22,34,28,35,14,,29,35,26,31,33,11,1,26,36,32,27,27,22,2,,282
"Seneca Free Library",7,1,22,24,18,19,16,,,28,18,21,22,14,6,,36,15,25,18,20,6,,31,19,24,19,17,11,,,205
"Silver Lake Library",3,,38,18,28,23,9,2,,15,36,24,21,28,6,1,31,12,19,19,17,4,,16,6,26,38,18,14,1,,181
"Tonganoxie Public Library",25,15,47,54,42,43,43,32,,46,45,40,41,39,34,26,50,45,40,49,49,33,11,40,55,64,40,49,30,14,,505
"Valley Falls, Delaware Township Library",4,,11,5,6,3,4,9,,6,6,12,3,6,5,,8,8,9,2,12,3,,11,6,5,2,7,2,,,72
"Wellsville City Library",12,,18,18,17,18,24,7,,12,13,29,15,19,9,2,17,28,22,14,21,7,,12,16,29,14,24,12,2,,176
"Wetmore Public Library",,,1,5,7,1,9,,,3,5,4,3,6,7,,6,5,4,1,6,1,,,3,4,1,3,4,,,36
"Williamsburg Community Library",1,,9,3,13,2,,,2,5,3,15,1,,2,,5,6,7,2,,3,,10,3,4,3,1,2,,,59
"Winchester Public Library",2,,8,6,4,8,8,2,,10,5,6,7,6,1,,2,6,3,10,5,2,,3,3,3,5,8,3,,,58
